Request_ID,Customer_ID,Account_ID,Request_Type,Created_Date,Assigned_Team,Priority,SLA_Hours,Resolved_Date,Status,Resolution_Hours,Escalation_Flag
SR0000019,C002967,A0005821,KYC Update,2025-10-14 03:00:00,Account Ops,Medium,48,2025-10-14 22:00:00,Resolved,19.0,No
SR0000020,C004806,A0003470,Debit Card Request,2025-06-10 06:00:00,Branch Ops,Medium,48,2025-06-11 09:00:00,Resolved,27.0,No
SR0000021,C003959,A0003257,KYC Update,2024-08-10 06:00:00,Branch Ops,High,72,2024-08-10 17:00:00,Resolved,11.0,No
SR0000022,C004736,A0001514,Address Change,2025-02-25 06:00:00,KYC Team,High,24,2025-02-26 04:00:00,Resolved,22.0,No
SR0000023,C000414,A0002316,Debit Card Request,2026-02-28 02:00:00,Cards Team,Medium,24,2026-03-01 11:00:00,Resolved,33.0,Yes
SR0000024,C000190,A0006033,Email Update,2024-07-17 19:00:00,Account Ops,High,24,2024-07-18 09:00:00,Resolved,14.0,No
SR0000025,C001540,A0002278,Name Change,2024-08-27 04:00:00,KYC Team,Medium,48,2024-08-28 08:00:00,Closed,28.0,No
SR0000026,C003807,A0000858,Debit Card Request,2024-03-24 07:00:00,Cards Team,Medium,24,2024-03-25 11:00:00,Resolved,28.0,Yes
SR0000027,C001073,A0000632,Debit Card Request,2024-05-12 00:00:00,Cards Team,Low,48,,In Progress,,No
SR0000028,C002390,A0002397,Email Update,2024-08-06 18:00:00,Customer Service,High,48,2024-08-09 05:00:00,Closed,59.0,Yes
SR0000029,C000995,A0001216,Debit Card Request,2024-11-13 07:00:00,Cards Team,Low,24,2024-11-15 14:00:00,Closed,55.0,Yes
SR0000030,C000116,A0001889,Debit Card Request,2024-02-29 06:00:00,Account Ops,High,48,,In Progress,,No
SR0000031,C000383,A0000992,KYC Update,2026-05-16 07:00:00,Account Ops,Medium,24,2026-05-17 09:00:00,Resolved,26.0,Yes
SR0000032,C004393,A0002520,KYC Update,2026-01-01 10:00:00,KYC Team,Low,24,2026-01-05 20:00:00,Resolved,106.0,Yes
SR0000033,C004293,A0001894,Debit Card Request,2025-11-25 17:00:00,Branch Ops,Medium,48,2025-11-26 14:00:00,Resolved,21.0,No
SR0000034,C003512,A0004003,KYC Update,2026-02-05 00:00:00,Branch Ops,Medium,48,2026-02-05 16:00:00,Resolved,16.0,No
SR0000035,C000217,A0000687,Email Update,2025-11-23 16:00:00,Customer Service,Medium,48,2025-11-24 06:00:00,Resolved,14.0,No
SR0000036,C002097,A0001752,Debit Card Request,2024-05-20 20:00:00,Cards Team,Medium,24,2024-05-21 00:00:00,Resolved,4.0,No
SR0000037,C003633,A0005138,KYC Update,2024-02-16 15:00:00,Cards Team,Medium,48,2024-02-17 20:00:00,Closed,29.0,No
SR0000038,C004801,A0005966,Address Change,2026-01-07 02:00:00,Customer Service,High,48,2026-01-09 10:00:00,Closed,56.0,Yes
SR0000039,C000695,A0000565,Account Closure,2026-06-04 19:00:00,Branch Ops,Medium,72,2026-06-05 14:00:00,Closed,19.0,No
SR0000040,C001510,A0002935,Debit Card Request,2024-12-08 11:00:00,Cards Team,Medium,72,2024-12-09 00:00:00,Resolved,13.0,No
SR0000041,C002508,A0001735,Debit Card Request,2026-01-07 23:00:00,Customer Service,Medium,72,2026-01-09 19:00:00,Resolved,44.0,No
SR0000042,C000119,A0003971,Account Activation,2025-06-22 11:00:00,Branch Ops,Low,24,2025-06-23 07:00:00,Resolved,20.0,No
SR0000043,C004637,A0000267,Name Change,2025-12-21 07:00:00,KYC Team,Low,72,2025-12-24 06:00:00,Resolved,71.0,No
SR0000044,C001999,A0006386,KYC Update,2024-09-27 21:00:00,Customer Service,Low,24,,In Progress,,No
SR0000045,C000793,A0000133,Address Change,2025-11-10 13:00:00,Cards Team,Medium,48,2025-11-13 22:00:00,Closed,81.0,Yes
SR0000046,C002641,A0004526,Name Change,2025-04-23 18:00:00,Branch Ops,Medium,48,2025-04-24 17:00:00,Resolved,23.0,No
SR0000047,C004496,A0004945,Address Change,2024-12-26 23:00:00,KYC Team,Medium,48,2024-12-27 07:00:00,Resolved,8.0,No
SR0000048,C000340,A0003448,Address Change,2026-02-08 15:00:00,Account Ops,Low,48,,Pending,,No
SR0000049,C004987,A0004391,Address Change,2026-01-02 10:00:00,Account Ops,Low,48,2026-01-04 14:00:00,Resolved,52.0,Yes
SR0000050,C004496,A0002508,Email Update,2026-06-20 10:00:00,Account Ops,Low,48,2026-06-22 00:00:00,Resolved,38.0,No
SR0000051,C000534,A0003981,KYC Update,2024-04-10 12:00:00,Account Ops,Medium,72,2024-04-11 13:00:00,Closed,25.0,No
SR0000052,C001490,A0004279,Name Change,2025-08-29 19:00:00,Account Ops,Medium,72,2025-08-30 13:00:00,Resolved,18.0,No
SR0000053,C001379,A0000920,Name Change,2024-09-12 09:00:00,Branch Ops,Medium,72,2024-09-12 17:00:00,Resolved,8.0,No
SR0000054,C001990,A0006088,Account Closure,2025-01-28 04:00:00,Cards Team,Medium,24,2025-01-28 19:00:00,Resolved,15.0,No
SR0000055,C004736,A0005657,KYC Update,2026-04-19 09:00:00,KYC Team,Medium,48,2026-04-22 03:00:00,Resolved,66.0,Yes
SR0000056,C002685,A0003167,Address Change,2024-02-10 03:00:00,Cards Team,Medium,72,2024-02-11 06:00:00,Resolved,27.0,No
SR0000057,C004590,A0001359,Account Activation,2025-09-19 01:00:00,Branch Ops,Medium,24,2025-09-22 15:00:00,Resolved,86.0,Yes
SR0000058,C000617,A0003029,Mobile Update,2024-08-31 16:00:00,Branch Ops,Medium,72,2024-09-01 11:00:00,Resolved,19.0,Yes
SR0000059,C004098,A0004844,Name Change,2024-03-29 15:00:00,Branch Ops,Medium,24,2024-03-29 21:00:00,Resolved,6.0,No
SR0000060,C002130,A0000618,Name Change,2026-06-03 14:00:00,KYC Team,Medium,24,2026-06-04 23:00:00,Resolved,33.0,Yes
SR0000061,C002845,A0003996,Address Change,2025-08-23 10:00:00,Cards Team,Medium,48,2025-08-28 04:00:00,Resolved,114.0,Yes
SR0000062,C003149,A0005089,KYC Update,2025-11-18 18:00:00,Account Ops,Medium,48,2025-11-19 21:00:00,Resolved,27.0,No
SR0000063,C000444,A0001205,Name Change,2025-03-14 13:00:00,Cards Team,Medium,48,2025-03-15 13:00:00,Resolved,24.0,No
SR0000064,C001277,A0001769,Address Change,2025-11-14 15:00:00,Customer Service,Low,48,2025-11-15 05:00:00,Resolved,14.0,No
SR0000065,C002674,A0005189,KYC Update,2024-03-08 12:00:00,Cards Team,Medium,48,2024-03-11 07:00:00,Resolved,67.0,Yes
SR0000066,C001426,A0000403,Address Change,2026-04-17 02:00:00,KYC Team,Low,24,2026-04-21 05:00:00,Resolved,99.0,Yes
SR0000067,C000471,A0001063,Account Activation,2024-04-13 05:00:00,Account Ops,Medium,48,2024-04-14 02:00:00,Resolved,21.0,No
SR0000068,C000348,A0006254,KYC Update,2024-02-29 14:00:00,Branch Ops,Medium,24,2024-03-01 14:00:00,Resolved,24.0,No
SR0000069,C004307,A0002738,KYC Update,2024-05-20 18:00:00,Cards Team,Low,48,2024-05-21 20:00:00,Resolved,26.0,No
SR0000070,C000558,A0001483,Mobile Update,2024-06-27 11:00:00,Branch Ops,Medium,48,2024-06-28 12:00:00,Resolved,25.0,No
SR0000071,C000402,A0005592,Address Change,2026-06-01 02:00:00,Branch Ops,Medium,24,2026-06-02 01:00:00,Resolved,23.0,No
SR0000072,C000868,A0003948,Account Closure,2025-04-15 07:00:00,Account Ops,Medium,24,2025-04-16 17:00:00,Resolved,34.0,Yes
SR0000073,C000266,A0004564,Mobile Update,2024-05-27 06:00:00,Branch Ops,Low,24,,In Progress,,No
SR0000074,C001701,A0003609,Debit Card Request,2026-03-11 15:00:00,Customer Service,High,48,2026-03-11 17:00:00,Resolved,2.0,No
SR0000075,C001307,A0006276,KYC Update,2024-01-10 11:00:00,Account Ops,Medium,72,2024-01-11 14:00:00,Resolved,27.0,No
SR0000076,C003855,A0005950,Account Closure,2025-04-03 01:00:00,Cards Team,High,24,2025-04-04 00:00:00,Resolved,23.0,No
SR0000077,C000763,A0000961,Email Update,2026-06-24 12:00:00,KYC Team,Medium,48,2026-06-29 11:00:00,Resolved,119.0,Yes
SR0000078,C002602,A0004204,KYC Update,2024-01-11 02:00:00,KYC Team,Medium,24,2024-01-12 07:00:00,Resolved,29.0,Yes
SR0000079,C003677,A0004460,Email Update,2024-07-18 01:00:00,KYC Team,High,24,2024-07-18 18:00:00,Resolved,17.0,No
SR0000080,C001156,A0003393,Name Change,2026-01-08 20:00:00,Branch Ops,Medium,24,2026-01-09 10:00:00,Closed,14.0,No
SR0000081,C001487,A0002221,Address Change,2024-10-02 08:00:00,Account Ops,Medium,48,2024-10-02 10:00:00,Resolved,2.0,Yes
SR0000082,C001811,A0005817,Address Change,2025-07-12 03:00:00,Customer Service,Low,48,2025-07-13 10:00:00,Resolved,31.0,No
SR0000083,C002581,A0005433,Email Update,2026-05-14 22:00:00,KYC Team,High,72,2026-05-17 22:00:00,Resolved,72.0,No
SR0000084,C002958,A0005968,Debit Card Request,2026-06-18 18:00:00,Customer Service,Medium,48,2026-06-20 14:00:00,Resolved,44.0,No
SR0000085,C001362,A0004309,Account Activation,2024-12-14 03:00:00,Cards Team,Low,72,,Pending,,No
SR0000086,C004976,A0004942,Account Activation,2024-06-02 12:00:00,Customer Service,High,72,2024-06-02 23:00:00,Resolved,11.0,No
SR0000087,C004040,A0004401,Address Change,2026-03-17 21:00:00,Account Ops,Medium,24,2026-03-21 07:00:00,Resolved,82.0,Yes
SR0000088,C002368,A0001574,Account Activation,2025-03-20 02:00:00,Account Ops,Medium,72,2025-03-21 05:00:00,Resolved,27.0,No
SR0000089,C004231,A0000709,Account Activation,2025-07-07 04:00:00,Branch Ops,Medium,48,2025-07-08 09:00:00,Resolved,29.0,No
SR0000090,C003923,A0003627,Email Update,2024-10-29 04:00:00,KYC Team,High,72,2024-10-30 22:00:00,Resolved,42.0,No
SR0000091,C003031,A0002371,Account Activation,2024-03-12 14:00:00,Account Ops,Low,48,2024-03-14 01:00:00,Resolved,35.0,No
SR0000092,C003791,A0001742,Address Change,2026-01-03 20:00:00,Customer Service,High,24,2026-01-04 14:00:00,Resolved,18.0,No
SR0000093,C004493,A0002867,KYC Update,2026-04-15 08:00:00,Branch Ops,High,72,2026-04-16 02:00:00,Resolved,18.0,No
SR0000094,C000168,A0005664,Debit Card Request,2024-10-06 00:00:00,KYC Team,Medium,24,2024-10-06 07:00:00,Resolved,7.0,No
SR0000095,C001712,A0000257,Account Activation,2026-03-03 02:00:00,Account Ops,Medium,72,2026-03-03 20:00:00,Resolved,18.0,No
SR0000096,C000857,A0003468,Name Change,2025-05-01 02:00:00,Cards Team,Low,72,2025-05-03 22:00:00,Closed,68.0,No
SR0000097,C000008,A0005297,Account Activation,2026-03-15 01:00:00,Customer Service,Medium,24,2026-03-15 18:00:00,Closed,17.0,No
SR0000098,C004978,A0002455,Debit Card Request,2025-04-18 15:00:00,Account Ops,Medium,72,2025-04-19 11:00:00,Resolved,20.0,No
SR0000099,C001192,A0004939,Account Closure,2025-12-16 17:00:00,KYC Team,Medium,48,2025-12-22 04:00:00,Closed,131.0,Yes
SR0000100,C001733,A0000568,Account Closure,2024-01-15 10:00:00,Account Ops,Medium,24,2024-01-16 14:00:00,Resolved,28.0,Yes
SR0000101,C001668,A0006374,Address Change,2025-11-27 03:00:00,Account Ops,Medium,48,,Pending,,Yes
SR0000102,C004352,A0001007,Account Closure,2026-02-07 16:00:00,Cards Team,High,24,,In Progress,,No
SR0000103,C004329,A0000901,Debit Card Request,2024-08-09 06:00:00,Account Ops,Medium,48,2024-08-09 10:00:00,Resolved,4.0,No
SR0000104,C002794,A0004953,Mobile Update,2026-03-17 17:00:00,Cards Team,Low,48,,In Progress,,No
SR0000105,C004551,A0001582,Address Change,2025-11-29 08:00:00,Customer Service,Medium,24,,In Progress,,No
SR0000106,C002133,A0002907,KYC Update,2025-03-24 17:00:00,Cards Team,Medium,48,2025-03-27 12:00:00,Resolved,67.0,Yes
SR0000107,C002712,A0001835,Account Activation,2024-06-10 00:00:00,Account Ops,Medium,48,2024-06-10 20:00:00,Resolved,20.0,No
SR0000108,C000128,A0000506,Debit Card Request,2024-02-23 16:00:00,Customer Service,Low,48,2024-02-24 04:00:00,Resolved,12.0,No
SR0000109,C000961,A0005403,Name Change,2025-04-10 04:00:00,Cards Team,Medium,72,2025-04-11 08:00:00,Resolved,28.0,No
SR0000110,C000483,A0005805,Account Activation,2024-03-31 10:00:00,Account Ops,Medium,48,2024-04-01 18:00:00,Resolved,32.0,No
SR0000111,C001720,A0004989,Account Activation,2025-03-25 02:00:00,Branch Ops,Medium,24,2025-03-25 09:00:00,Resolved,7.0,No
SR0000112,C001617,A0001460,KYC Update,2024-04-08 02:00:00,Cards Team,Low,72,2024-04-09 05:00:00,Resolved,27.0,No
SR0000113,C001101,A0005771,Address Change,2026-03-11 11:00:00,KYC Team,Medium,48,,Pending,,No
SR0000114,C002816,A0006302,Address Change,2025-12-20 09:00:00,Customer Service,High,48,2025-12-22 03:00:00,Resolved,42.0,No
SR0000115,C003217,A0002592,Email Update,2026-06-20 19:00:00,Cards Team,Medium,48,2026-06-24 23:00:00,Resolved,100.0,Yes
SR0000116,C002045,A0004044,Account Activation,2024-01-01 05:00:00,Account Ops,Medium,48,2024-01-01 15:00:00,Resolved,10.0,No
SR0000117,C000704,A0002266,KYC Update,2025-06-23 09:00:00,Customer Service,Medium,48,2025-06-25 04:00:00,Closed,43.0,No
SR0000118,C001171,A0004789,Address Change,2025-05-21 08:00:00,Branch Ops,Medium,24,2025-05-22 23:00:00,Resolved,39.0,Yes
SR0000119,C003333,A0003299,KYC Update,2026-06-16 04:00:00,KYC Team,Medium,24,2026-06-19 03:00:00,Resolved,71.0,Yes
SR0000120,C004537,A0005133,Account Closure,2024-02-05 23:00:00,Cards Team,Low,24,2024-02-06 23:00:00,Closed,24.0,No
SR0000121,C003287,A0002172,Account Closure,2025-06-12 21:00:00,Account Ops,Low,24,2025-06-13 10:00:00,Closed,13.0,No
SR0000122,C000954,A0006092,KYC Update,2025-06-28 14:00:00,Account Ops,Low,72,,Pending,,No
SR0000123,C000859,A0002501,Email Update,2024-01-10 08:00:00,Cards Team,Medium,24,2024-01-11 20:00:00,Closed,36.0,Yes
SR0000124,C002274,A0001570,KYC Update,2025-02-17 18:00:00,Account Ops,Medium,72,2025-02-20 01:00:00,Resolved,55.0,No
SR0000125,C003960,A0001522,Account Closure,2025-03-25 18:00:00,Account Ops,High,24,2025-03-26 18:00:00,Resolved,24.0,No
SR0000126,C004551,A0001418,Address Change,2024-04-25 21:00:00,Branch Ops,Medium,24,2024-04-26 01:00:00,Resolved,4.0,No
SR0000127,C000937,A0006468,Email Update,2025-10-26 02:00:00,Customer Service,Medium,72,2025-10-29 17:00:00,Closed,87.0,Yes
SR0000128,C004841,A0001953,Account Closure,2024-07-11 02:00:00,KYC Team,Low,24,2024-07-13 10:00:00,Resolved,56.0,Yes
SR0000129,C004796,A0000087,KYC Update,2025-08-30 06:00:00,Customer Service,Low,48,2025-08-30 16:00:00,Resolved,10.0,No
SR0000130,C000454,A0003164,Name Change,2024-07-18 00:00:00,KYC Team,High,48,2024-07-20 04:00:00,Closed,52.0,Yes
SR0000131,C003155,A0005539,Debit Card Request,2024-10-21 02:00:00,Account Ops,Medium,48,2024-10-22 17:00:00,Resolved,39.0,No
SR0000132,C000280,A0000461,Address Change,2024-03-06 02:00:00,Customer Service,High,48,,Pending,,No
SR0000133,C000389,A0004932,KYC Update,2025-07-20 05:00:00,KYC Team,Low,48,,Pending,,No
SR0000134,C003159,A0005104,Email Update,2024-01-12 03:00:00,Account Ops,Medium,72,2024-01-13 09:00:00,Resolved,30.0,No
SR0000135,C000679,A0001719,Account Activation,2026-01-17 15:00:00,Cards Team,Medium,24,2026-01-19 09:00:00,Closed,42.0,Yes
SR0000136,C002456,A0005384,Email Update,2026-03-24 04:00:00,KYC Team,Medium,72,2026-03-26 22:00:00,Resolved,66.0,No
SR0000137,C003211,A0000529,KYC Update,2024-08-04 22:00:00,Customer Service,Low,48,2024-08-05 22:00:00,Resolved,24.0,No
SR0000138,C000436,A0006269,Email Update,2025-06-06 11:00:00,Account Ops,High,48,2025-06-06 14:00:00,Closed,3.0,No
SR0000139,C000330,A0000672,Address Change,2024-12-20 13:00:00,Account Ops,Medium,24,,In Progress,,No
SR0000140,C003332,A0004117,Account Closure,2024-07-31 07:00:00,Cards Team,Medium,24,2024-08-01 07:00:00,Resolved,24.0,No
SR0000141,C002543,A0003809,Debit Card Request,2026-04-19 06:00:00,Branch Ops,Medium,48,2026-04-20 16:00:00,Closed,34.0,No
SR0000142,C000746,A0004800,Debit Card Request,2025-11-03 01:00:00,Branch Ops,Medium,72,2025-11-04 13:00:00,Closed,36.0,No
SR0000143,C004932,A0001172,Email Update,2026-06-10 15:00:00,Branch Ops,Medium,48,2026-06-11 05:00:00,Resolved,14.0,No
SR0000144,C001509,A0003512,KYC Update,2026-06-19 23:00:00,Branch Ops,Medium,48,2026-06-20 23:00:00,Closed,24.0,No
SR0000145,C004043,A0004802,Account Closure,2024-07-28 11:00:00,Cards Team,Medium,48,2024-07-29 04:00:00,Resolved,17.0,No
SR0000146,C003091,A0002035,Mobile Update,2025-12-08 23:00:00,Branch Ops,High,48,2025-12-09 21:00:00,Resolved,22.0,No
SR0000147,C000974,A0001388,Debit Card Request,2025-08-08 22:00:00,Branch Ops,Low,48,2025-08-09 22:00:00,Resolved,24.0,No
SR0000148,C001759,A0005287,Debit Card Request,2024-02-01 15:00:00,Customer Service,Medium,24,,In Progress,,No
SR0000149,C004298,A0001120,Address Change,2025-12-07 23:00:00,Customer Service,High,72,2025-12-08 14:00:00,Closed,15.0,No
SR0000150,C000987,A0002540,KYC Update,2025-10-10 04:00:00,Account Ops,Medium,48,2025-10-12 01:00:00,Resolved,45.0,No
SR0000151,C001454,A0000697,Name Change,2025-01-02 07:00:00,Cards Team,Medium,24,2025-01-04 02:00:00,Resolved,43.0,Yes
SR0000152,C001724,A0000405,Account Activation,2024-04-09 04:00:00,Account Ops,High,24,,In Progress,,No
SR0000153,C002957,A0002488,Debit Card Request,2024-10-07 03:00:00,Branch Ops,Medium,24,2024-10-08 19:00:00,Closed,40.0,Yes
SR0000154,C003303,A0004748,Account Activation,2024-08-07 09:00:00,KYC Team,Medium,24,2024-08-09 03:00:00,Resolved,42.0,Yes
SR0000155,C004423,A0003389,Mobile Update,2024-01-02 13:00:00,Cards Team,Medium,72,2024-01-03 01:00:00,Resolved,12.0,No
SR0000156,C001144,A0004581,Name Change,2025-11-04 13:00:00,Cards Team,Low,72,2025-11-08 19:00:00,Resolved,102.0,Yes
SR0000157,C002581,A0003753,Address Change,2026-01-03 17:00:00,Account Ops,Low,48,2026-01-04 05:00:00,Resolved,12.0,No
SR0000158,C004778,A0002157,Account Closure,2025-04-10 17:00:00,Branch Ops,Medium,24,2025-04-11 05:00:00,Closed,12.0,No
SR0000159,C004333,A0002930,Mobile Update,2025-08-13 06:00:00,Account Ops,High,24,2025-08-14 06:00:00,Resolved,24.0,No
SR0000160,C004907,A0000692,Mobile Update,2025-07-25 08:00:00,Customer Service,Medium,48,2025-07-26 08:00:00,Resolved,24.0,Yes
SR0000161,C000813,A0000631,Debit Card Request,2024-03-28 21:00:00,Account Ops,Low,24,2024-03-31 02:00:00,Resolved,53.0,Yes
SR0000162,C003100,A0000351,KYC Update,2024-06-17 07:00:00,KYC Team,Medium,48,2024-06-17 08:00:00,Resolved,1.0,No
SR0000163,C003953,A0000464,Address Change,2025-11-19 21:00:00,Customer Service,High,48,2025-11-20 02:00:00,Closed,5.0,No
SR0000164,C004379,A0005476,Debit Card Request,2024-02-06 05:00:00,Branch Ops,Low,48,2024-02-06 13:00:00,Resolved,8.0,No
SR0000165,C004086,A0004220,Debit Card Request,2024-05-09 19:00:00,Branch Ops,Medium,48,2024-05-10 00:00:00,Resolved,5.0,No
SR0000166,C001904,A0001555,Mobile Update,2025-06-24 12:00:00,Account Ops,Medium,72,2025-06-25 05:00:00,Resolved,17.0,No
SR0000167,C003776,A0000574,Debit Card Request,2024-01-25 16:00:00,Cards Team,Medium,24,2024-01-26 16:00:00,Resolved,24.0,No
SR0000168,C004247,A0000725,Debit Card Request,2026-05-06 03:00:00,Account Ops,High,24,2026-05-06 22:00:00,Resolved,19.0,No
SR0000169,C002256,A0005668,Account Activation,2026-05-26 08:00:00,Branch Ops,Medium,24,,Pending,,No
SR0000170,C000366,A0003552,Account Activation,2025-01-04 21:00:00,Cards Team,Medium,48,2025-01-05 23:00:00,Resolved,26.0,No
SR0000171,C002543,A0002849,Account Closure,2024-01-14 21:00:00,Account Ops,High,48,,Pending,,No
SR0000172,C003783,A0005052,Mobile Update,2025-11-23 02:00:00,Branch Ops,Low,72,,In Progress,,No
SR0000173,C004113,A0003169,KYC Update,2024-04-04 08:00:00,Customer Service,Low,24,,Pending,,No
SR0000174,C002773,A0001834,Debit Card Request,2025-09-05 19:00:00,Cards Team,Low,24,,In Progress,,No
SR0000175,C001459,A0005302,Mobile Update,2026-03-18 20:00:00,Branch Ops,Medium,72,2026-03-19 12:00:00,Resolved,16.0,No
SR0000176,C000528,A0003022,KYC Update,2025-11-13 03:00:00,Cards Team,Medium,48,2025-11-15 23:00:00,Resolved,68.0,Yes
SR0000177,C004459,A0005963,Address Change,2026-04-22 18:00:00,Cards Team,Medium,24,2026-04-27 02:00:00,Resolved,104.0,Yes
SR0000178,C003701,A0002613,Mobile Update,2025-02-08 05:00:00,Account Ops,Medium,72,2025-02-09 00:00:00,Resolved,19.0,No
SR0000179,C001792,A0000100,KYC Update,2025-03-31 13:00:00,KYC Team,Low,48,2025-04-01 06:00:00,Resolved,17.0,No
SR0000180,C001220,A0004101,Name Change,2024-04-03 12:00:00,Customer Service,Medium,24,2024-04-03 18:00:00,Resolved,6.0,No
SR0000181,C001565,A0005641,Email Update,2024-07-11 01:00:00,Account Ops,Medium,24,2024-07-12 13:00:00,Resolved,36.0,Yes
SR0000182,C003643,A0002750,KYC Update,2024-01-13 02:00:00,Account Ops,Low,72,2024-01-15 07:00:00,Resolved,53.0,No
SR0000183,C003061,A0004832,KYC Update,2024-07-27 03:00:00,Account Ops,Medium,48,2024-07-28 06:00:00,Resolved,27.0,No
SR0000184,C003889,A0003837,Mobile Update,2026-03-19 23:00:00,Branch Ops,Medium,48,2026-03-21 02:00:00,Resolved,27.0,No
SR0000185,C003591,A0001636,Account Closure,2024-11-21 18:00:00,Customer Service,Medium,72,2024-11-23 03:00:00,Closed,33.0,No
SR0000186,C002990,A0001674,Mobile Update,2025-12-07 22:00:00,Customer Service,Low,72,2025-12-09 08:00:00,Resolved,34.0,No
SR0000187,C001904,A0002321,Mobile Update,2024-03-21 02:00:00,Cards Team,Low,48,2024-03-22 07:00:00,Resolved,29.0,No
SR0000188,C000344,A0005951,Email Update,2025-04-24 18:00:00,Account Ops,Low,48,2025-04-25 09:00:00,Resolved,15.0,No
SR0000189,C004845,A0006060,Debit Card Request,2025-03-08 13:00:00,Account Ops,Medium,48,2025-03-09 15:00:00,Resolved,26.0,No
SR0000190,C003843,A0003074,Mobile Update,2024-02-21 02:00:00,Account Ops,Low,72,2024-02-21 11:00:00,Resolved,9.0,No
SR0000191,C001344,A0004567,Account Activation,2024-06-30 09:00:00,Cards Team,Medium,48,2024-07-01 07:00:00,Closed,22.0,No
SR0000192,C004888,A0002378,Debit Card Request,2026-06-16 07:00:00,Branch Ops,Medium,48,2026-06-16 21:00:00,Resolved,14.0,No
SR0000193,C004840,A0002726,KYC Update,2026-05-21 17:00:00,KYC Team,Medium,24,2026-05-26 05:00:00,Resolved,108.0,Yes
SR0000194,C001295,A0004789,Address Change,2026-05-19 20:00:00,Cards Team,High,48,2026-05-22 09:00:00,Closed,61.0,Yes
SR0000195,C000558,A0004850,Account Activation,2024-08-02 18:00:00,Branch Ops,Medium,24,2024-08-04 06:00:00,Resolved,36.0,Yes
SR0000196,C000743,A0002903,Email Update,2025-01-23 12:00:00,Customer Service,Medium,24,2025-01-24 16:00:00,Resolved,28.0,Yes
SR0000197,C004394,A0000123,Account Activation,2026-05-13 21:00:00,Account Ops,Medium,48,2026-05-14 18:00:00,Resolved,21.0,No
SR0000198,C001418,A0005151,KYC Update,2024-02-27 12:00:00,Customer Service,Medium,48,2024-02-28 00:00:00,Resolved,12.0,No
SR0000199,C000466,A0004004,Account Activation,2025-06-27 02:00:00,Customer Service,Low,24,2025-06-27 15:00:00,Resolved,13.0,No
SR0000200,C000864,A0001320,KYC Update,2025-03-18 12:00:00,Account Ops,High,48,2025-03-20 05:00:00,Resolved,41.0,No
SR0000201,C004964,A0003633,Account Activation,2024-09-09 16:00:00,Customer Service,Medium,24,2024-09-09 22:00:00,Closed,6.0,Yes
SR0000202,C002467,A0002272,KYC Update,2024-10-16 06:00:00,Branch Ops,Medium,24,,Pending,,No
