Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Channel,Amount,Debit_Credit,Transaction_Status,Failure_Reason
T00000028,A0004383,2025-01-17 00:00:00,Purchase,IMPS,3408.16,Debit,Success,
T00000029,A0005471,2026-02-02 00:00:00,Bill Payment,NEFT,5551.23,Credit,Success,
T00000030,A0000208,2024-08-21 00:00:00,Transfer,POS,4344.0,Debit,Success,
T00000031,A0002466,2026-03-09 00:00:00,Purchase,UPI,1306.9,Debit,Success,
T00000032,A0004113,2025-05-17 00:00:00,Bill Payment,POS,5504.61,Debit,Success,
T00000033,A0004657,2024-06-22 00:00:00,Bill Payment,POS,1579.78,Debit,Success,
T00000034,A0002405,2024-01-30 00:00:00,Transfer,POS,4577.61,Debit,Failed,Authentication Failed
T00000035,A0001720,2025-09-03 00:00:00,Transfer,UPI,1336.63,Debit,Success,
T00000036,A0002798,2025-01-23 00:00:00,Transfer,POS,1142.0,Debit,Success,
T00000037,A0006120,2025-02-14 00:00:00,Transfer,Mobile Banking,1709.86,Debit,Success,
T00000038,A0004062,2024-09-03 00:00:00,Purchase,Branch,19451.17,Credit,Success,
T00000039,A0005827,2024-02-15 00:00:00,Transfer,UPI,11957.42,Debit,Success,
T00000040,A0002131,2024-08-03 00:00:00,Purchase,IMPS,839.1,Debit,Success,
T00000041,A0005305,2025-10-20 00:00:00,Transfer,UPI,5561.83,Debit,Failed,Technical Error
T00000042,A0002689,2024-07-15 00:00:00,Transfer,UPI,5730.27,Credit,Success,
T00000043,A0000381,2024-08-20 00:00:00,Purchase,POS,8824.5,Debit,Success,
T00000044,A0006117,2024-08-05 00:00:00,Bill Payment,POS,10307.02,Credit,Success,
T00000045,A0000448,2025-07-14 00:00:00,Transfer,UPI,2266.85,Debit,Pending,
T00000046,A0002402,2024-05-17 00:00:00,Transfer,Mobile Banking,29644.85,Debit,Success,
T00000047,A0003434,2025-01-24 00:00:00,Deposit,NEFT,11727.15,Debit,Success,
T00000048,A0005654,2024-03-08 00:00:00,Bill Payment,NEFT,575.65,Credit,Success,
T00000049,A0005717,2024-05-04 00:00:00,Transfer,UPI,3840.24,Debit,Success,
T00000050,A0002113,2025-06-05 00:00:00,Deposit,UPI,1499.66,Debit,Success,
T00000051,A0001430,2025-07-04 00:00:00,Purchase,UPI,21219.78,Debit,Success,
T00000052,A0003258,2026-05-21 00:00:00,Purchase,NEFT,5350.45,Debit,Success,
T00000053,A0000847,2025-12-12 00:00:00,Purchase,Branch,2745.17,Debit,Success,
T00000054,A0000983,2025-04-22 00:00:00,Bill Payment,ATM,3137.55,Debit,Success,
T00000055,A0002979,2024-09-19 00:00:00,Cash Withdrawal,ATM,3655.7,Debit,Success,
T00000056,A0002652,2025-08-10 00:00:00,Purchase,UPI,3353.37,Credit,Success,
T00000057,A0006070,2025-06-23 00:00:00,Transfer,UPI,599.52,Credit,Success,
T00000058,A0002082,2025-11-06 00:00:00,Transfer,UPI,3882.1,Debit,Success,
T00000059,A0006142,2025-09-09 00:00:00,Purchase,UPI,1638.1,Debit,Success,
T00000060,A0005006,2024-03-13 00:00:00,Cash Withdrawal,UPI,13596.18,Debit,Success,
T00000061,A0006052,2025-03-27 00:00:00,Transfer,POS,9119.43,Debit,Success,
T00000062,A0000425,2025-05-02 00:00:00,Bill Payment,UPI,1507.63,Debit,Success,
T00000063,A0003310,2026-01-28 00:00:00,Transfer,POS,1666.37,Debit,Success,
T00000064,A0002772,2025-04-29 00:00:00,Purchase,NEFT,13037.29,Debit,Success,
T00000065,A0006094,2025-12-26 00:00:00,Purchase,UPI,4627.85,Debit,Success,
T00000066,A0006417,2025-05-05 00:00:00,Bill Payment,Mobile Banking,4344.55,Credit,Success,
T00000067,A0006381,2024-07-06 00:00:00,Cash Withdrawal,IMPS,3380.1,Debit,Success,
T00000068,A0004617,2025-07-26 00:00:00,Purchase,ATM,2976.1,Debit,Success,
T00000069,A0005915,2024-09-03 00:00:00,Bill Payment,UPI,4628.26,Credit,Success,
T00000070,A0003891,2025-12-12 00:00:00,Purchase,UPI,1717.5,Debit,Success,
T00000071,A0002842,2025-10-09 00:00:00,Cash Withdrawal,POS,2446.47,Debit,Success,
T00000072,A0005667,2025-11-07 00:00:00,Purchase,Mobile Banking,1409.51,Credit,Success,
T00000073,A0001629,2024-09-03 00:00:00,Bill Payment,ATM,4829.49,Debit,Success,
T00000074,A0000721,2024-03-26 00:00:00,Purchase,Mobile Banking,2979.76,Debit,Success,
T00000075,A0004887,2025-11-06 00:00:00,Bill Payment,POS,3253.67,Debit,Success,
T00000076,A0004593,2024-11-12 00:00:00,Transfer,UPI,14163.0,Debit,Success,
T00000077,A0001708,2025-05-30 00:00:00,Purchase,UPI,6116.89,Credit,Success,
T00000078,A0001367,2025-03-08 00:00:00,Purchase,POS,3208.32,Debit,Success,
T00000079,A0002297,2024-02-19 00:00:00,Transfer,UPI,1400.04,Credit,Success,
T00000080,A0005219,2024-04-25 00:00:00,Cash Withdrawal,IMPS,6447.41,Debit,Success,
T00000081,A0003491,2024-03-05 00:00:00,Bill Payment,UPI,3248.11,Debit,Success,
T00000082,A0004430,2024-07-13 00:00:00,Transfer,UPI,4334.68,Debit,Success,
T00000083,A0005603,2024-02-03 00:00:00,Transfer,IMPS,18865.3,Debit,Success,
T00000084,A0000295,2025-12-13 00:00:00,Transfer,Mobile Banking,6957.93,Debit,Success,
T00000085,A0003121,2024-12-24 00:00:00,Purchase,IMPS,13350.97,Debit,Success,
T00000086,A0005125,2025-03-22 00:00:00,Transfer,Branch,1116.84,Debit,Success,
T00000087,A0000511,2025-02-28 00:00:00,Transfer,Mobile Banking,838.44,Debit,Success,
T00000088,A0003303,2025-01-28 00:00:00,Cash Withdrawal,UPI,2383.7,Debit,Success,
T00000089,A0003770,2025-12-06 00:00:00,Bill Payment,ATM,4765.24,Debit,Success,
T00000090,A0003856,2025-01-27 00:00:00,Deposit,ATM,1127.64,Debit,Success,
T00000091,A0000505,2026-03-12 00:00:00,Cash Withdrawal,UPI,16471.91,Credit,Success,
T00000092,A0001070,2025-08-30 00:00:00,Purchase,UPI,3979.53,Debit,Success,
T00000093,A0001543,2026-05-18 00:00:00,Bill Payment,IMPS,2202.06,Debit,Success,
T00000094,A0002978,2025-10-02 00:00:00,Transfer,POS,478.8,Debit,Failed,Authentication Failed
T00000095,A0000722,2025-03-31 00:00:00,Bill Payment,IMPS,17738.68,Credit,Success,
T00000096,A0005170,2024-05-17 00:00:00,Purchase,ATM,14741.8,Debit,Success,
T00000097,A0003769,2025-11-11 00:00:00,Purchase,POS,3286.91,Credit,Success,
T00000098,A0005572,2024-03-14 00:00:00,Transfer,Mobile Banking,4457.14,Credit,Success,
T00000099,A0001601,2025-10-06 00:00:00,Bill Payment,POS,27362.55,Debit,Success,
T00000100,A0005048,2025-09-02 00:00:00,Deposit,UPI,5363.36,Debit,Success,
T00000101,A0004001,2024-10-01 00:00:00,Transfer,ATM,2674.83,Debit,Success,
T00000102,A0004946,2025-01-15 00:00:00,Purchase,POS,8459.49,Debit,Success,
T00000103,A0004303,2025-01-28 00:00:00,Bill Payment,UPI,8427.38,Debit,Success,
T00000104,A0000826,2024-03-30 00:00:00,Bill Payment,UPI,10241.78,Debit,Success,
T00000105,A0003092,2026-01-13 00:00:00,Cash Withdrawal,POS,16252.73,Debit,Success,
T00000106,A0001625,2024-04-22 00:00:00,Purchase,Mobile Banking,6950.19,Credit,Success,
T00000107,A0000013,2024-11-12 00:00:00,Purchase,UPI,35539.63,Debit,Success,
T00000108,A0000234,2026-05-27 00:00:00,Purchase,UPI,223.68,Debit,Success,
T00000109,A0000200,2024-05-29 00:00:00,Deposit,IMPS,4547.63,Debit,Success,
T00000110,A0001445,2024-06-14 00:00:00,Transfer,Mobile Banking,20337.59,Debit,Pending,
T00000111,A0003133,2024-05-27 00:00:00,Purchase,Mobile Banking,3050.43,Debit,Success,
T00000112,A0004603,2026-05-16 00:00:00,Bill Payment,UPI,3373.16,Debit,Success,
T00000113,A0001366,2025-08-28 00:00:00,Deposit,UPI,3238.2,Debit,Success,
T00000114,A0003699,2024-01-04 00:00:00,Purchase,NEFT,1275.94,Debit,Success,
T00000115,A0003136,2025-06-29 00:00:00,Transfer,ATM,1906.74,Debit,Success,
T00000116,A0004269,2026-05-28 00:00:00,Purchase,UPI,2592.18,Debit,Success,
T00000117,A0003749,2024-05-28 00:00:00,Purchase,ATM,3847.31,Credit,Success,
T00000118,A0000956,2024-07-18 00:00:00,Purchase,UPI,3499.37,Debit,Success,
T00000119,A0003032,2025-02-19 00:00:00,Deposit,UPI,2921.71,Debit,Success,
T00000120,A0003266,2024-01-18 00:00:00,Cash Withdrawal,POS,3718.21,Debit,Success,
T00000121,A0003496,2025-12-12 00:00:00,Transfer,UPI,4572.26,Debit,Success,
T00000122,A0002648,2024-08-20 00:00:00,Purchase,UPI,8979.21,Credit,Success,
T00000123,A0006281,2025-11-30 00:00:00,Transfer,NEFT,6327.29,Debit,Success,
T00000124,A0005726,2025-08-10 00:00:00,Bill Payment,POS,2346.68,Debit,Success,
T00000125,A0004110,2024-12-30 00:00:00,Deposit,UPI,1323.21,Credit,Success,
T00000126,A0000127,2025-09-20 00:00:00,Purchase,IMPS,5921.01,Debit,Success,
T00000127,A0001279,2025-11-15 00:00:00,Deposit,UPI,2987.21,Debit,Success,
T00000128,A0001549,2026-02-03 00:00:00,Deposit,ATM,19708.44,Credit,Success,
T00000129,A0001054,2025-10-05 00:00:00,Purchase,Mobile Banking,1839.15,Debit,Success,
T00000130,A0001707,2026-04-25 00:00:00,Purchase,POS,1659.14,Credit,Success,
T00000131,A0006183,2026-03-14 00:00:00,Transfer,NEFT,1695.23,Debit,Failed,Technical Error
T00000132,A0003802,2026-03-11 00:00:00,Transfer,Mobile Banking,12837.97,Debit,Success,
T00000133,A0006374,2025-07-30 00:00:00,Purchase,IMPS,3921.58,Credit,Success,
T00000134,A0002968,2024-08-10 00:00:00,Cash Withdrawal,ATM,4537.91,Debit,Success,
T00000135,A0002979,2025-01-28 00:00:00,Transfer,UPI,16232.27,Debit,Success,
T00000136,A0004034,2025-12-11 00:00:00,Purchase,NEFT,14261.86,Debit,Success,
T00000137,A0005601,2024-08-18 00:00:00,Cash Withdrawal,UPI,5168.41,Credit,Success,
T00000138,A0000032,2024-06-12 00:00:00,Transfer,IMPS,4160.17,Credit,Success,
T00000139,A0004143,2026-03-26 00:00:00,Deposit,UPI,17302.01,Debit,Success,
T00000140,A0005180,2026-05-29 00:00:00,Transfer,UPI,6168.18,Debit,Success,
T00000141,A0000287,2025-04-22 00:00:00,Bill Payment,IMPS,3051.87,Debit,Success,
T00000142,A0002121,2025-10-08 00:00:00,Cash Withdrawal,UPI,8238.32,Credit,Success,
T00000143,A0005025,2025-11-12 00:00:00,Transfer,ATM,2503.95,Debit,Success,
T00000144,A0002531,2026-01-08 00:00:00,Transfer,NEFT,2880.06,Debit,Success,
T00000145,A0002401,2024-06-26 00:00:00,Purchase,POS,2659.74,Debit,Success,
T00000146,A0000659,2025-09-03 00:00:00,Bill Payment,ATM,2877.75,Debit,Success,
T00000147,A0003753,2025-05-09 00:00:00,Purchase,ATM,10337.35,Credit,Success,
T00000148,A0004291,2024-10-10 00:00:00,Bill Payment,Mobile Banking,8714.87,Credit,Success,
T00000149,A0005787,2024-07-17 00:00:00,Transfer,NEFT,4145.68,Debit,Failed,Timeout
T00000150,A0002878,2025-07-12 00:00:00,Transfer,Mobile Banking,2435.5,Debit,Success,
T00000151,A0003424,2025-03-15 00:00:00,Purchase,ATM,6063.75,Credit,Success,
T00000152,A0003364,2025-04-21 00:00:00,Purchase,UPI,1789.47,Debit,Success,
T00000153,A0003807,2024-04-06 00:00:00,Bill Payment,POS,897.75,Debit,Pending,
T00000154,A0000686,2026-01-19 00:00:00,Transfer,POS,15807.78,Debit,Success,
T00000155,A0005250,2025-04-19 00:00:00,Purchase,Branch,7742.7,Credit,Success,
T00000156,A0000449,2025-10-18 00:00:00,Bill Payment,ATM,5252.89,Debit,Success,
T00000157,A0005241,2025-01-26 00:00:00,Transfer,POS,1826.67,Debit,Success,
T00000158,A0003893,2025-09-24 00:00:00,Transfer,POS,5114.5,Debit,Success,
T00000159,A0004089,2025-08-26 00:00:00,Cash Withdrawal,UPI,2283.97,Debit,Success,
T00000160,A0002816,2026-03-09 00:00:00,Purchase,UPI,6417.19,Debit,Success,
T00000161,A0000246,2024-07-14 00:00:00,Purchase,UPI,1782.74,Credit,Success,
T00000162,A0000751,2026-05-01 00:00:00,Purchase,UPI,514.38,Debit,Success,
T00000163,A0005684,2025-09-30 00:00:00,Transfer,Branch,10796.86,Debit,Success,
T00000164,A0002480,2026-03-31 00:00:00,Deposit,POS,895.44,Debit,Failed,Limit Exceeded
T00000165,A0004058,2026-04-26 00:00:00,Deposit,UPI,28532.07,Debit,Success,
T00000166,A0002601,2024-01-22 00:00:00,Deposit,NEFT,5941.75,Debit,Success,
T00000167,A0003542,2025-09-13 00:00:00,Deposit,UPI,3180.15,Debit,Success,
T00000168,A0002922,2026-03-04 00:00:00,Purchase,IMPS,6434.42,Credit,Failed,Technical Error
T00000169,A0005515,2025-06-11 00:00:00,Cash Withdrawal,ATM,2542.24,Debit,Success,
T00000170,A0006195,2024-06-03 00:00:00,Transfer,Branch,706.5,Debit,Success,
T00000171,A0002449,2025-03-18 00:00:00,Cash Withdrawal,IMPS,7519.34,Debit,Success,
T00000172,A0004204,2026-01-03 00:00:00,Bill Payment,NEFT,9199.48,Debit,Success,
T00000173,A0000641,2025-09-29 00:00:00,Purchase,POS,2967.64,Debit,Success,
T00000174,A0006443,2024-04-20 00:00:00,Deposit,Mobile Banking,3393.09,Credit,Success,
T00000175,A0001668,2026-06-20 00:00:00,Deposit,NEFT,1009.19,Debit,Success,
T00000176,A0000299,2026-01-22 00:00:00,Purchase,IMPS,2421.34,Debit,Success,
T00000177,A0005932,2025-09-10 00:00:00,Purchase,Branch,749.67,Debit,Success,
T00000178,A0000649,2024-02-22 00:00:00,Purchase,UPI,14105.6,Credit,Success,
T00000179,A0005138,2024-04-25 00:00:00,Cash Withdrawal,Branch,771.17,Debit,Success,
T00000180,A0001472,2024-04-10 00:00:00,Transfer,Mobile Banking,12972.57,Credit,Success,
T00000181,A0003187,2024-02-14 00:00:00,Transfer,UPI,9032.65,Credit,Success,
T00000182,A0006495,2026-05-23 00:00:00,Transfer,UPI,5851.83,Credit,Failed,Insufficient Funds
T00000183,A0005337,2024-03-22 00:00:00,Cash Withdrawal,POS,1079.55,Credit,Success,
T00000184,A0000430,2025-07-23 00:00:00,Transfer,UPI,2509.49,Debit,Success,
T00000185,A0005665,2024-01-04 00:00:00,Purchase,ATM,1531.38,Debit,Success,
T00000186,A0004362,2025-08-06 00:00:00,Purchase,UPI,1965.46,Debit,Success,
T00000187,A0005201,2025-11-16 00:00:00,Bill Payment,Branch,697.76,Debit,Success,
T00000188,A0002353,2025-09-19 00:00:00,Deposit,POS,1078.58,Credit,Success,
T00000189,A0006476,2024-12-24 00:00:00,Bill Payment,NEFT,2653.28,Debit,Success,
T00000190,A0002624,2025-01-21 00:00:00,Bill Payment,IMPS,29645.42,Credit,Success,
T00000191,A0006235,2024-07-31 00:00:00,Transfer,IMPS,348.69,Credit,Success,
T00000192,A0005489,2024-08-13 00:00:00,Cash Withdrawal,IMPS,20616.72,Debit,Success,
T00000193,A0003653,2025-07-22 00:00:00,Purchase,UPI,6298.38,Debit,Success,
T00000194,A0001441,2024-02-03 00:00:00,Purchase,NEFT,1135.36,Debit,Success,
T00000195,A0004343,2026-03-21 00:00:00,Purchase,Mobile Banking,3769.38,Debit,Success,
T00000196,A0001059,2024-03-18 00:00:00,Purchase,UPI,3376.27,Credit,Success,
T00000197,A0006437,2024-02-07 00:00:00,Transfer,UPI,8001.96,Debit,Success,
T00000198,A0002948,2024-02-27 00:00:00,Purchase,UPI,2102.8,Debit,Success,
T00000199,A0005900,2024-07-15 00:00:00,Transfer,Mobile Banking,2155.03,Credit,Success,
T00000200,A0002394,2025-03-25 00:00:00,Bill Payment,NEFT,1824.64,Credit,Success,
T00000201,A0003129,2024-07-03 00:00:00,Deposit,IMPS,14811.6,Credit,Success,
T00000202,A0002759,2025-03-08 00:00:00,Transfer,ATM,1174.72,Debit,Success,
T00000203,A0001456,2024-02-18 00:00:00,Purchase,UPI,1096.46,Credit,Success,
T00000204,A0006465,2025-03-21 00:00:00,Transfer,POS,1298.71,Debit,Success,
T00000205,A0001083,2024-04-21 00:00:00,Bill Payment,POS,1849.12,Credit,Success,
T00000206,A0005531,2025-01-24 00:00:00,Transfer,UPI,1344.2,Credit,Success,
T00000207,A0000907,2024-10-26 00:00:00,Transfer,Mobile Banking,2857.27,Debit,Success,
T00000208,A0000854,2024-04-10 00:00:00,Transfer,NEFT,31540.14,Debit,Success,
T00000209,A0000128,2025-04-08 00:00:00,Purchase,Mobile Banking,3336.46,Debit,Success,
T00000210,A0005535,2024-04-25 00:00:00,Transfer,Mobile Banking,2634.09,Debit,Success,
T00000211,A0004887,2024-09-06 00:00:00,Cash Withdrawal,POS,11045.18,Debit,Success,
T00000212,A0005007,2025-10-31 00:00:00,Purchase,Mobile Banking,12232.61,Debit,Success,
T00000213,A0003464,2026-05-19 00:00:00,Deposit,ATM,414.61,Credit,Success,
T00000214,A0001326,2024-06-06 00:00:00,Cash Withdrawal,Mobile Banking,14860.8,Debit,Success,
T00000215,A0002952,2024-04-24 00:00:00,Cash Withdrawal,POS,1137.68,Credit,Success,
T00000216,A0005253,2026-02-03 00:00:00,Bill Payment,POS,3901.68,Credit,Success,
T00000217,A0000009,2025-12-21 00:00:00,Cash Withdrawal,UPI,6837.22,Debit,Success,
T00000218,A0003886,2024-09-28 00:00:00,Purchase,NEFT,2318.32,Credit,Success,
T00000219,A0003082,2025-07-04 00:00:00,Transfer,UPI,1682.96,Debit,Success,
T00000220,A0001029,2025-01-06 00:00:00,Bill Payment,ATM,36423.84,Debit,Success,
T00000221,A0000096,2024-02-08 00:00:00,Cash Withdrawal,UPI,1394.25,Debit,Success,
T00000222,A0002073,2025-05-21 00:00:00,Bill Payment,ATM,1243.88,Debit,Success,
T00000223,A0004486,2024-04-24 00:00:00,Deposit,NEFT,630.65,Credit,Success,
T00000224,A0002268,2025-11-27 00:00:00,Transfer,UPI,1584.73,Debit,Success,
T00000225,A0006412,2025-01-05 00:00:00,Transfer,ATM,1417.95,Debit,Failed,Authentication Failed
T00000226,A0002026,2024-07-12 00:00:00,Bill Payment,UPI,1796.96,Debit,Success,
T00000227,A0005788,2025-10-10 00:00:00,Transfer,UPI,13205.74,Credit,Success,
T00000228,A0004921,2024-10-10 00:00:00,Purchase,Mobile Banking,784.87,Debit,Success,
T00000229,A0001255,2026-03-19 00:00:00,Purchase,NEFT,24154.94,Debit,Success,
T00000230,A0001651,2026-01-26 00:00:00,Transfer,UPI,7994.17,Credit,Success,
T00000231,A0004160,2024-03-06 00:00:00,Purchase,POS,3901.34,Debit,Success,
T00000232,A0000726,2024-02-28 00:00:00,Transfer,POS,1069.0,Debit,Success,
T00000233,A0001733,2025-09-05 00:00:00,Purchase,ATM,1913.72,Credit,Success,
T00000234,A0003938,2024-05-25 00:00:00,Cash Withdrawal,IMPS,954.98,Debit,Success,
T00000235,A0003517,2025-01-01 00:00:00,Purchase,IMPS,2310.0,Debit,Success,
T00000236,A0003325,2024-11-07 00:00:00,Cash Withdrawal,UPI,1273.19,Debit,Success,
T00000237,A0002985,2026-04-01 00:00:00,Deposit,UPI,1229.56,Debit,Success,
T00000238,A0000484,2025-03-20 00:00:00,Deposit,UPI,74493.67,Debit,Success,
T00000239,A0001675,2025-06-01 00:00:00,Transfer,IMPS,1093.6,Debit,Success,
T00000240,A0006474,2025-07-29 00:00:00,Bill Payment,UPI,18886.89,Credit,Success,
T00000241,A0003508,2025-06-25 00:00:00,Cash Withdrawal,UPI,7111.63,Credit,Success,
T00000242,A0002164,2024-11-02 00:00:00,Bill Payment,IMPS,12594.76,Credit,Success,
T00000243,A0004407,2026-02-24 00:00:00,Purchase,UPI,2558.33,Debit,Success,
T00000244,A0003247,2024-12-10 00:00:00,Purchase,UPI,3205.27,Credit,Success,
T00000245,A0004460,2024-08-30 00:00:00,Bill Payment,NEFT,8215.75,Credit,Success,
T00000246,A0004620,2024-04-26 00:00:00,Purchase,POS,1204.76,Debit,Success,
T00000247,A0001186,2025-07-02 00:00:00,Purchase,POS,1217.63,Debit,Success,
T00000248,A0001344,2024-04-02 00:00:00,Transfer,UPI,2055.99,Debit,Success,
T00000249,A0000134,2024-07-22 00:00:00,Purchase,UPI,2465.46,Credit,Success,
T00000250,A0003712,2026-06-20 00:00:00,Cash Withdrawal,UPI,4123.3,Credit,Success,
T00000251,A0005175,2026-02-03 00:00:00,Purchase,POS,1511.84,Debit,Success,
T00000252,A0003782,2024-04-23 00:00:00,Transfer,ATM,1782.6,Credit,Pending,
T00000253,A0004291,2026-04-02 00:00:00,Deposit,ATM,1082.69,Credit,Success,
T00000254,A0004505,2024-03-04 00:00:00,Transfer,POS,8195.05,Credit,Success,
T00000255,A0002952,2024-12-24 00:00:00,Transfer,IMPS,10470.93,Debit,Success,
T00000256,A0004985,2026-02-24 00:00:00,Transfer,UPI,3189.68,Debit,Success,
T00000257,A0004120,2026-05-02 00:00:00,Purchase,Mobile Banking,1783.4,Debit,Failed,Limit Exceeded
T00000258,A0002350,2026-06-16 00:00:00,Cash Withdrawal,UPI,3527.56,Credit,Success,
T00000259,A0005757,2026-06-05 00:00:00,Cash Withdrawal,UPI,1918.06,Debit,Success,
T00000260,A0003631,2024-03-25 00:00:00,Purchase,POS,4546.39,Credit,Success,
T00000261,A0002374,2024-07-08 00:00:00,Transfer,POS,1798.81,Credit,Success,
T00000262,A0001895,2025-04-27 00:00:00,Purchase,UPI,2816.08,Credit,Success,
T00000263,A0002903,2025-07-09 00:00:00,Purchase,POS,2031.15,Debit,Success,
T00000264,A0003743,2025-11-13 00:00:00,Purchase,NEFT,17026.11,Debit,Success,
T00000265,A0003397,2024-09-01 00:00:00,Purchase,UPI,1860.71,Credit,Success,
T00000266,A0003883,2024-01-18 00:00:00,Transfer,ATM,1571.61,Debit,Success,
T00000267,A0004463,2024-08-10 00:00:00,Deposit,ATM,12414.57,Credit,Failed,Timeout
T00000268,A0004888,2025-01-03 00:00:00,Purchase,IMPS,2070.39,Debit,Success,
T00000269,A0003201,2025-01-06 00:00:00,Purchase,NEFT,1169.41,Debit,Success,
T00000270,A0005923,2026-05-05 00:00:00,Deposit,UPI,8418.94,Debit,Success,
T00000271,A0004640,2024-11-09 00:00:00,Transfer,IMPS,2025.59,Credit,Success,
T00000272,A0003205,2024-04-10 00:00:00,Deposit,UPI,4444.81,Debit,Success,
T00000273,A0001782,2025-03-04 00:00:00,Transfer,NEFT,388.13,Debit,Success,
T00000274,A0000295,2026-01-28 00:00:00,Purchase,IMPS,1879.91,Debit,Success,
T00000275,A0000793,2024-04-15 00:00:00,Bill Payment,UPI,2815.69,Debit,Success,
T00000276,A0004167,2025-03-13 00:00:00,Cash Withdrawal,IMPS,2768.47,Debit,Failed,Technical Error
T00000277,A0000409,2025-01-03 00:00:00,Bill Payment,POS,2276.05,Credit,Success,
T00000278,A0000005,2024-01-14 00:00:00,Purchase,UPI,9652.98,Debit,Success,
T00000279,A0000539,2024-02-18 00:00:00,Purchase,UPI,25724.72,Debit,Success,
T00000280,A0004369,2024-07-17 00:00:00,Purchase,NEFT,95380.36,Debit,Success,
T00000281,A0000140,2025-11-06 00:00:00,Purchase,UPI,1634.76,Debit,Success,
T00000282,A0005469,2025-02-09 00:00:00,Bill Payment,NEFT,545.19,Credit,Success,
T00000283,A0006383,2024-11-02 00:00:00,Cash Withdrawal,UPI,2082.27,Debit,Success,
T00000284,A0005012,2025-11-28 00:00:00,Cash Withdrawal,POS,6678.16,Debit,Success,
T00000285,A0004929,2024-12-22 00:00:00,Purchase,Branch,3847.6,Debit,Success,
T00000286,A0003588,2024-04-13 00:00:00,Bill Payment,UPI,5580.85,Credit,Success,
T00000287,A0003497,2024-09-11 00:00:00,Transfer,IMPS,1231.95,Credit,Success,
T00000288,A0001321,2025-01-03 00:00:00,Cash Withdrawal,UPI,1158.88,Credit,Success,
T00000289,A0001704,2024-07-15 00:00:00,Bill Payment,UPI,6798.44,Debit,Success,
T00000290,A0001483,2024-12-04 00:00:00,Cash Withdrawal,ATM,5887.23,Credit,Success,
T00000291,A0004748,2024-11-13 00:00:00,Purchase,UPI,4950.76,Debit,Success,
T00000292,A0005282,2025-09-29 00:00:00,Transfer,Mobile Banking,1148.58,Debit,Success,
T00000293,A0006475,2024-02-03 00:00:00,Cash Withdrawal,Branch,2366.87,Credit,Success,
T00000294,A0002721,2024-08-13 00:00:00,Purchase,POS,966.66,Credit,Success,
T00000295,A0002351,2025-08-26 00:00:00,Transfer,POS,19396.3,Debit,Success,
T00000296,A0000582,2026-06-21 00:00:00,Transfer,Mobile Banking,1078.65,Debit,Pending,
T00000297,A0002479,2025-05-14 00:00:00,Transfer,UPI,1757.42,Credit,Success,
