Loan_ID,Customer_ID,Branch_ID,Loan_Type,Application_Date,Loan_Amount,Loan_Status,Approval_Date,Disbursement_Date,Interest_Rate,Tenure_Months,Outstanding_Amount,Credit_Score_Band
L000068,C002824,B020,Business,2023-11-11 00:00:00,313100.0,Closed,2023-11-20 00:00:00,2023-11-28 00:00:00,13.1,36,0.0,700-749
L000069,C003966,B025,Home,2023-11-13 00:00:00,450100.0,Disbursed,2023-11-23 00:00:00,2023-12-02 00:00:00,11.33,180,339062.63,750+
L000070,C003709,B013,Personal,2026-03-06 00:00:00,724700.0,Disbursed,2026-03-14 00:00:00,2026-03-23 00:00:00,9.43,48,228241.52,700-749
L000071,C003541,B023,Home,2023-10-29 00:00:00,192100.0,Disbursed,2023-11-07 00:00:00,2023-11-08 00:00:00,14.27,120,73378.12,700-749
L000072,C000631,B018,Personal,2025-01-29 00:00:00,279500.0,Disbursed,2025-02-08 00:00:00,2025-02-13 00:00:00,16.13,12,207632.46,700-749
L000073,C000673,B024,Home,2023-10-05 00:00:00,493000.0,Closed,2023-10-15 00:00:00,2023-10-23 00:00:00,11.49,240,0.0,750+
L000074,C001402,B012,Personal,2025-07-12 00:00:00,502900.0,Rejected,,,12.82,240,0.0,750+
L000075,C000741,B015,Personal,2026-02-16 00:00:00,1359200.0,Disbursed,2026-03-01 00:00:00,2026-03-05 00:00:00,10.84,120,1119133.26,700-749
L000076,C001375,B019,Personal,2025-10-02 00:00:00,454700.0,Disbursed,2025-10-15 00:00:00,2025-10-22 00:00:00,11.75,36,411906.54,600-699
L000077,C003341,B013,Home,2026-06-25 00:00:00,235500.0,Disbursed,2026-07-07 00:00:00,2026-07-08 00:00:00,9.05,48,154555.82,750+
L000078,C003366,B018,Vehicle,2024-12-30 00:00:00,444000.0,Disbursed,2025-01-02 00:00:00,2025-01-05 00:00:00,12.66,48,189667.24,750+
L000079,C002042,B011,Business,2023-05-28 00:00:00,619200.0,Approved,2023-06-05 00:00:00,,13.29,120,0.0,700-749
L000080,C004001,B007,Personal,2023-03-14 00:00:00,466600.0,Disbursed,2023-03-24 00:00:00,2023-03-30 00:00:00,15.77,12,203420.33,700-749
L000081,C003759,B018,Vehicle,2024-06-12 00:00:00,1052500.0,Rejected,,,17.43,24,0.0,750+
L000082,C003209,B003,Personal,2025-02-17 00:00:00,5467400.0,Disbursed,2025-03-03 00:00:00,2025-03-05 00:00:00,7.25,24,4373046.85,700-749
L000083,C000375,B029,Vehicle,2023-03-07 00:00:00,757800.0,Closed,2023-03-16 00:00:00,2023-03-25 00:00:00,14.58,48,0.0,700-749
L000084,C003920,B004,Personal,2024-11-23 00:00:00,125500.0,Rejected,,,11.47,120,0.0,700-749
L000085,C003469,B023,Education,2024-04-21 00:00:00,269000.0,Disbursed,2024-04-27 00:00:00,2024-04-29 00:00:00,14.93,24,157061.66,750+
L000086,C000118,B025,Personal,2024-07-08 00:00:00,119200.0,Disbursed,2024-07-16 00:00:00,2024-07-20 00:00:00,10.12,12,93156.04,750+
L000087,C001480,B014,Home,2025-11-09 00:00:00,644500.0,Disbursed,2025-11-23 00:00:00,2025-11-25 00:00:00,9.27,12,412660.44,700-749
L000088,C003477,B011,Personal,2023-05-09 00:00:00,236600.0,Disbursed,2023-05-22 00:00:00,2023-05-29 00:00:00,14.95,12,59178.64,750+
L000089,C002823,B013,Business,2025-04-06 00:00:00,309200.0,Closed,2025-04-19 00:00:00,2025-04-27 00:00:00,12.94,60,0.0,750+
L000090,C002825,B013,Business,2024-07-09 00:00:00,392600.0,Closed,2024-07-16 00:00:00,2024-07-20 00:00:00,8.99,60,0.0,750+
L000091,C003597,B026,Vehicle,2024-05-09 00:00:00,38600.0,Disbursed,2024-05-23 00:00:00,2024-05-30 00:00:00,8.51,24,14143.82,750+
L000092,C004415,B013,Home,2026-04-08 00:00:00,575600.0,Disbursed,2026-04-16 00:00:00,2026-04-22 00:00:00,8.83,60,346426.64,750+
L000093,C000346,B021,Home,2026-04-26 00:00:00,277700.0,Disbursed,2026-05-07 00:00:00,2026-05-10 00:00:00,10.84,240,216074.51,<600
L000094,C001820,B022,Business,2023-02-02 00:00:00,754500.0,Rejected,,,12.54,12,0.0,750+
L000095,C003571,B008,Personal,2025-07-25 00:00:00,1625900.0,Approved,2025-07-27 00:00:00,,14.04,48,0.0,600-699
L000096,C004960,B030,Personal,2025-09-02 00:00:00,88400.0,Closed,2025-09-05 00:00:00,2025-09-08 00:00:00,13.38,48,0.0,750+
L000097,C004834,B017,Personal,2023-09-14 00:00:00,3876400.0,Rejected,,,11.02,180,0.0,600-699
L000098,C004998,B025,Business,2026-06-01 00:00:00,301400.0,Disbursed,2026-06-02 00:00:00,2026-06-05 00:00:00,12.49,180,242047.57,750+
L000099,C004545,B030,Home,2026-01-03 00:00:00,2011200.0,Rejected,,,12.39,12,0.0,600-699
L000100,C004345,B008,Vehicle,2025-04-14 00:00:00,273900.0,Approved,2025-04-24 00:00:00,,15.96,24,0.0,700-749
L000101,C000958,B025,Home,2023-12-05 00:00:00,62000.0,Disbursed,2023-12-16 00:00:00,2023-12-20 00:00:00,8.21,120,41312.54,700-749
L000102,C000087,B015,Home,2025-02-18 00:00:00,522400.0,Approved,2025-02-19 00:00:00,,16.98,48,0.0,600-699
L000103,C000071,B014,Home,2024-05-08 00:00:00,675900.0,Closed,2024-05-20 00:00:00,2024-05-21 00:00:00,17.61,60,0.0,600-699
L000104,C004231,B022,Education,2023-01-12 00:00:00,354600.0,Disbursed,2023-01-13 00:00:00,2023-01-17 00:00:00,7.19,180,120205.27,700-749
L000105,C004114,B015,Personal,2025-05-11 00:00:00,916500.0,Disbursed,2025-05-17 00:00:00,2025-05-26 00:00:00,10.9,60,650017.52,<600
L000106,C002706,B017,Personal,2024-03-07 00:00:00,1020400.0,Disbursed,2024-03-12 00:00:00,2024-03-15 00:00:00,17.35,36,344983.22,<600
L000107,C000430,B025,Business,2023-05-03 00:00:00,560700.0,Disbursed,2023-05-12 00:00:00,2023-05-20 00:00:00,10.01,36,296389.91,600-699
L000108,C002289,B024,Business,2024-11-25 00:00:00,3841700.0,Disbursed,2024-11-29 00:00:00,2024-11-30 00:00:00,14.67,12,3128002.61,600-699
L000109,C002635,B009,Home,2024-03-27 00:00:00,891800.0,Disbursed,2024-03-28 00:00:00,2024-04-01 00:00:00,17.58,24,783570.42,600-699
L000110,C004419,B006,Home,2023-05-07 00:00:00,146600.0,Disbursed,2023-05-20 00:00:00,2023-05-29 00:00:00,9.71,36,93239.16,600-699
L000111,C002035,B001,Personal,2026-06-16 00:00:00,58200.0,Approved,2026-06-18 00:00:00,,8.84,12,0.0,700-749
L000112,C004548,B008,Vehicle,2025-05-23 00:00:00,219200.0,Approved,2025-06-04 00:00:00,,10.5,12,0.0,600-699
L000113,C001547,B003,Personal,2025-07-03 00:00:00,137600.0,Closed,2025-07-08 00:00:00,2025-07-09 00:00:00,9.13,48,0.0,700-749
L000114,C000332,B025,Vehicle,2025-10-04 00:00:00,249500.0,Approved,2025-10-09 00:00:00,,16.17,180,0.0,750+
L000115,C002033,B019,Personal,2025-06-25 00:00:00,994900.0,Disbursed,2025-07-03 00:00:00,2025-07-05 00:00:00,15.66,60,345649.04,700-749
L000116,C000644,B001,Home,2024-09-05 00:00:00,114200.0,Disbursed,2024-09-14 00:00:00,2024-09-16 00:00:00,12.19,180,106167.39,600-699
L000117,C004989,B025,Home,2024-11-17 00:00:00,711200.0,Disbursed,2024-11-29 00:00:00,2024-12-04 00:00:00,12.32,180,502105.65,600-699
L000118,C004309,B017,Home,2025-01-14 00:00:00,127600.0,Approved,2025-01-21 00:00:00,,17.38,24,0.0,750+
L000119,C004533,B022,Education,2023-02-27 00:00:00,308300.0,Disbursed,2023-03-12 00:00:00,2023-03-21 00:00:00,13.01,36,89436.56,600-699
L000120,C004371,B002,Personal,2026-01-02 00:00:00,251600.0,Rejected,,,12.63,120,0.0,750+
L000121,C003798,B014,Personal,2024-12-02 00:00:00,564300.0,Disbursed,2024-12-07 00:00:00,2024-12-16 00:00:00,16.01,36,162640.16,750+
L000122,C004252,B024,Personal,2025-06-20 00:00:00,116300.0,Disbursed,2025-06-30 00:00:00,2025-07-03 00:00:00,9.92,48,62807.82,750+
L000123,C004689,B002,Personal,2024-07-30 00:00:00,173000.0,Disbursed,2024-08-07 00:00:00,2024-08-08 00:00:00,15.12,24,49656.92,700-749
L000124,C001116,B012,Personal,2023-02-04 00:00:00,478900.0,Disbursed,2023-02-07 00:00:00,2023-02-11 00:00:00,14.83,180,236067.75,<600
L000125,C002910,B011,Personal,2026-06-14 00:00:00,693600.0,Disbursed,2026-06-21 00:00:00,2026-06-25 00:00:00,10.4,120,296002.73,700-749
L000126,C001449,B011,Vehicle,2024-10-02 00:00:00,216500.0,Disbursed,2024-10-10 00:00:00,2024-10-11 00:00:00,8.88,120,79834.8,750+
L000127,C003630,B016,Personal,2024-05-17 00:00:00,1698400.0,Disbursed,2024-05-25 00:00:00,2024-06-01 00:00:00,8.93,24,1477004.35,600-699
L000128,C004695,B016,Vehicle,2024-10-10 00:00:00,25700.0,Disbursed,2024-10-16 00:00:00,2024-10-24 00:00:00,9.69,60,12397.11,750+
L000129,C001150,B005,Home,2026-04-10 00:00:00,149700.0,Closed,2026-04-24 00:00:00,2026-04-27 00:00:00,17.92,180,0.0,700-749
L000130,C000445,B014,Education,2026-05-04 00:00:00,1822800.0,Rejected,,,9.49,60,0.0,750+
L000131,C000047,B014,Business,2025-01-09 00:00:00,268300.0,Disbursed,2025-01-22 00:00:00,2025-01-23 00:00:00,13.83,12,168716.64,600-699
L000132,C000415,B023,Business,2024-10-19 00:00:00,310800.0,Disbursed,2024-10-21 00:00:00,2024-10-28 00:00:00,13.9,60,234702.67,700-749
L000133,C002859,B015,Personal,2026-01-02 00:00:00,418300.0,Approved,2026-01-05 00:00:00,,17.51,240,0.0,700-749
L000134,C002237,B002,Home,2025-06-24 00:00:00,1289400.0,Disbursed,2025-06-28 00:00:00,2025-07-03 00:00:00,16.74,120,634305.39,<600
L000135,C004874,B021,Home,2025-06-30 00:00:00,1377500.0,Rejected,,,11.87,60,0.0,700-749
L000136,C003143,B014,Home,2023-05-30 00:00:00,856700.0,Disbursed,2023-06-03 00:00:00,2023-06-10 00:00:00,11.03,12,561956.28,750+
L000137,C004906,B010,Personal,2024-12-29 00:00:00,749800.0,Disbursed,2025-01-11 00:00:00,2025-01-17 00:00:00,10.36,48,279249.78,600-699
L000138,C003681,B023,Personal,2025-12-16 00:00:00,678100.0,Disbursed,2025-12-17 00:00:00,2025-12-25 00:00:00,10.16,24,342417.73,750+
L000139,C002647,B024,Personal,2024-06-02 00:00:00,486100.0,Disbursed,2024-06-10 00:00:00,2024-06-18 00:00:00,10.61,180,335849.62,<600
L000140,C004027,B004,Business,2025-04-02 00:00:00,1473000.0,Disbursed,2025-04-09 00:00:00,2025-04-16 00:00:00,7.18,240,486749.72,700-749
L000141,C002676,B030,Education,2025-10-02 00:00:00,1149200.0,Approved,2025-10-12 00:00:00,,17.81,120,0.0,750+
L000142,C003523,B027,Home,2025-01-06 00:00:00,189100.0,Disbursed,2025-01-10 00:00:00,2025-01-11 00:00:00,9.98,240,174865.03,600-699
L000143,C000549,B025,Education,2023-12-30 00:00:00,190700.0,Disbursed,2024-01-12 00:00:00,2024-01-19 00:00:00,17.62,180,60060.47,700-749
L000144,C000643,B002,Personal,2023-06-11 00:00:00,502800.0,Disbursed,2023-06-15 00:00:00,2023-06-16 00:00:00,8.05,60,472322.4,700-749
L000145,C004247,B010,Vehicle,2024-04-07 00:00:00,785600.0,Approved,2024-04-21 00:00:00,,10.25,12,0.0,<600
L000146,C004672,B009,Home,2023-06-28 00:00:00,539000.0,Disbursed,2023-07-08 00:00:00,2023-07-12 00:00:00,7.55,120,181436.37,750+
L000147,C003906,B023,Home,2023-08-05 00:00:00,554600.0,Disbursed,2023-08-07 00:00:00,2023-08-13 00:00:00,16.72,24,427187.17,600-699
L000148,C000784,B029,Home,2024-09-10 00:00:00,408600.0,Rejected,,,16.59,120,0.0,750+
L000149,C003115,B020,Home,2024-10-11 00:00:00,1595500.0,Disbursed,2024-10-23 00:00:00,2024-10-25 00:00:00,7.37,24,1309625.98,600-699
L000150,C001732,B019,Home,2023-06-02 00:00:00,477000.0,Disbursed,2023-06-03 00:00:00,2023-06-09 00:00:00,12.56,36,300649.45,600-699
L000151,C004177,B021,Personal,2024-04-14 00:00:00,1192100.0,Closed,2024-04-26 00:00:00,2024-05-01 00:00:00,8.66,60,0.0,750+
L000152,C000452,B009,Business,2023-09-11 00:00:00,1943100.0,Rejected,,,9.85,240,0.0,750+
L000153,C002762,B009,Vehicle,2023-11-10 00:00:00,598700.0,Approved,2023-11-17 00:00:00,,9.64,24,0.0,600-699
L000154,C001866,B004,Home,2024-02-03 00:00:00,3647800.0,Disbursed,2024-02-17 00:00:00,2024-02-18 00:00:00,9.9,60,1498878.02,750+
L000155,C004753,B019,Personal,2024-09-14 00:00:00,1272100.0,Closed,2024-09-28 00:00:00,2024-10-07 00:00:00,8.19,36,0.0,600-699
L000156,C004023,B030,Personal,2025-11-29 00:00:00,769500.0,Disbursed,2025-12-02 00:00:00,2025-12-07 00:00:00,16.62,180,492270.48,750+
L000157,C004135,B011,Personal,2023-11-21 00:00:00,503400.0,Disbursed,2023-11-23 00:00:00,2023-12-01 00:00:00,17.01,120,448780.58,600-699
L000158,C000689,B007,Vehicle,2024-08-01 00:00:00,843400.0,Disbursed,2024-08-13 00:00:00,2024-08-17 00:00:00,11.52,180,737625.74,700-749
L000159,C004378,B022,Vehicle,2024-12-13 00:00:00,426400.0,Disbursed,2024-12-19 00:00:00,2024-12-25 00:00:00,12.25,120,126913.96,600-699
L000160,C004503,B019,Personal,2025-12-27 00:00:00,664200.0,Disbursed,2026-01-03 00:00:00,2026-01-09 00:00:00,9.12,180,538377.31,750+
L000161,C000494,B026,Vehicle,2025-11-03 00:00:00,278700.0,Approved,2025-11-10 00:00:00,,15.8,48,0.0,600-699
L000162,C003771,B005,Personal,2025-06-01 00:00:00,739700.0,Rejected,,,10.69,120,0.0,700-749
L000163,C000545,B020,Personal,2023-10-03 00:00:00,300500.0,Rejected,,,17.62,36,0.0,700-749
L000164,C004506,B021,Personal,2024-09-07 00:00:00,3542400.0,Approved,2024-09-10 00:00:00,,14.07,12,0.0,600-699
L000165,C002607,B018,Vehicle,2025-12-24 00:00:00,927900.0,Disbursed,2026-01-06 00:00:00,2026-01-13 00:00:00,8.65,120,579364.15,600-699
L000166,C001114,B022,Personal,2025-11-03 00:00:00,198700.0,Disbursed,2025-11-17 00:00:00,2025-11-19 00:00:00,15.46,36,88856.21,750+
L000167,C000840,B023,Education,2023-06-18 00:00:00,301700.0,Closed,2023-06-29 00:00:00,2023-07-08 00:00:00,7.93,60,0.0,600-699
L000168,C000898,B017,Home,2026-05-03 00:00:00,370700.0,Disbursed,2026-05-04 00:00:00,2026-05-11 00:00:00,16.31,240,145782.97,700-749
L000169,C000391,B007,Home,2025-05-17 00:00:00,638100.0,Disbursed,2025-05-21 00:00:00,2025-05-29 00:00:00,10.27,36,538901.13,600-699
L000170,C001635,B020,Home,2025-02-27 00:00:00,171000.0,Disbursed,2025-03-06 00:00:00,2025-03-10 00:00:00,7.46,12,70526.72,750+
L000171,C004076,B016,Personal,2024-12-01 00:00:00,697200.0,Closed,2024-12-14 00:00:00,2024-12-15 00:00:00,8.38,180,0.0,700-749
L000172,C004847,B020,Personal,2023-09-09 00:00:00,1012600.0,Rejected,,,9.06,48,0.0,600-699
L000173,C002452,B028,Personal,2023-12-12 00:00:00,5079300.0,Disbursed,2023-12-17 00:00:00,2023-12-20 00:00:00,15.32,180,2554767.8,700-749
L000174,C003621,B015,Personal,2024-10-28 00:00:00,893400.0,Disbursed,2024-11-05 00:00:00,2024-11-10 00:00:00,17.25,24,602596.94,750+
L000175,C002745,B018,Business,2024-08-31 00:00:00,1381800.0,Closed,2024-09-12 00:00:00,2024-09-20 00:00:00,13.17,240,0.0,750+
L000176,C003387,B026,Business,2024-10-17 00:00:00,451100.0,Closed,2024-10-31 00:00:00,2024-11-06 00:00:00,14.91,36,0.0,700-749
L000177,C000680,B019,Education,2023-08-16 00:00:00,1000300.0,Disbursed,2023-08-26 00:00:00,2023-08-28 00:00:00,9.05,24,825709.98,700-749
L000178,C001637,B006,Business,2026-06-12 00:00:00,274900.0,Disbursed,2026-06-21 00:00:00,2026-06-29 00:00:00,15.86,48,95188.52,700-749
L000179,C000776,B019,Vehicle,2025-08-26 00:00:00,167500.0,Rejected,,,10.47,240,0.0,<600
L000180,C004280,B004,Home,2024-12-14 00:00:00,1601900.0,Rejected,,,10.77,48,0.0,600-699
L000181,C002234,B015,Personal,2024-12-10 00:00:00,290900.0,Disbursed,2024-12-20 00:00:00,2024-12-23 00:00:00,17.2,48,194621.08,600-699
L000182,C000426,B007,Education,2025-07-17 00:00:00,115600.0,Disbursed,2025-07-30 00:00:00,2025-08-07 00:00:00,7.06,180,58700.94,700-749
L000183,C002804,B019,Vehicle,2026-05-05 00:00:00,231800.0,Disbursed,2026-05-17 00:00:00,2026-05-21 00:00:00,11.87,240,113997.76,750+
L000184,C003208,B028,Home,2023-09-17 00:00:00,177600.0,Disbursed,2023-09-20 00:00:00,2023-09-24 00:00:00,16.05,180,96501.04,750+
L000185,C004958,B013,Home,2023-07-02 00:00:00,567400.0,Disbursed,2023-07-13 00:00:00,2023-07-17 00:00:00,13.37,120,496339.8,<600
L000186,C004438,B018,Home,2024-05-20 00:00:00,1463200.0,Rejected,,,9.79,12,0.0,600-699
L000187,C000484,B003,Vehicle,2024-11-16 00:00:00,617200.0,Disbursed,2024-11-17 00:00:00,2024-11-23 00:00:00,9.18,60,519639.83,750+
