Card_ID,Account_ID,Card_Type,Issue_Date,Activation_Date,Card_Status,Card_Network,Expiry_Date,Replacement_Count,Block_Reason
CD000137,A0005625,Debit,2024-04-20 00:00:00,2024-04-20 00:00:00,Blocked,RuPay,2029-04-20 00:00:00,1,Customer Request
CD000138,A0000773,Debit,2024-04-16 00:00:00,2024-04-21 00:00:00,Active,Mastercard,2029-04-16 00:00:00,0,
CD000139,A0000436,Debit,2024-11-04 00:00:00,2024-11-10 00:00:00,Active,Visa,2029-11-04 00:00:00,0,
CD000140,A0006005,Debit,2023-10-07 00:00:00,2023-10-10 00:00:00,Inactive,Mastercard,2028-10-07 00:00:00,0,
CD000141,A0003272,Debit,2025-07-22 00:00:00,2025-07-22 00:00:00,Active,Visa,2030-07-22 00:00:00,2,
CD000142,A0002589,Debit,2024-05-02 00:00:00,2024-05-05 00:00:00,Active,Mastercard,2029-05-02 00:00:00,0,
CD000143,A0002867,Debit,2023-04-07 00:00:00,2023-04-07 00:00:00,Active,Visa,2028-04-07 00:00:00,0,
CD000144,A0006233,Debit,2026-01-21 00:00:00,2026-01-24 00:00:00,Active,Visa,2031-01-21 00:00:00,1,
CD000145,A0001537,Debit,2026-06-16 00:00:00,2026-06-16 00:00:00,Active,RuPay,2031-06-16 00:00:00,0,
CD000146,A0002267,Debit,2022-01-24 00:00:00,2022-01-24 00:00:00,Active,RuPay,2027-01-24 00:00:00,0,
CD000147,A0002065,Debit,2022-03-30 00:00:00,2022-04-01 00:00:00,Active,Mastercard,2027-03-30 00:00:00,0,
CD000148,A0002974,Debit,2023-04-03 00:00:00,2023-04-04 00:00:00,Active,Visa,2028-04-03 00:00:00,0,
CD000149,A0006028,Credit,2025-06-12 00:00:00,2025-06-12 00:00:00,Active,Visa,2030-06-12 00:00:00,0,
CD000150,A0006191,Debit,2024-10-10 00:00:00,2024-10-14 00:00:00,Inactive,Visa,2029-10-10 00:00:00,0,
CD000151,A0002827,Debit,2022-02-28 00:00:00,2022-03-05 00:00:00,Inactive,Visa,2027-02-28 00:00:00,1,
CD000152,A0000040,Debit,2023-04-25 00:00:00,2023-05-01 00:00:00,Blocked,Mastercard,2028-04-25 00:00:00,1,Suspected Fraud
CD000153,A0005733,Debit,2025-04-07 00:00:00,2025-04-11 00:00:00,Active,Mastercard,2030-04-07 00:00:00,1,
CD000154,A0006340,Credit,2026-06-30 00:00:00,2026-06-30 00:00:00,Expired,Visa,2031-06-30 00:00:00,0,
CD000155,A0004899,Debit,2022-12-02 00:00:00,2022-12-03 00:00:00,Active,Mastercard,2027-12-02 00:00:00,0,
CD000156,A0003463,Debit,2023-09-23 00:00:00,2023-09-27 00:00:00,Expired,Mastercard,2028-09-23 00:00:00,0,
CD000157,A0001285,Debit,2022-02-16 00:00:00,2022-02-23 00:00:00,Active,Visa,2027-02-16 00:00:00,0,
CD000158,A0001922,Debit,2023-12-05 00:00:00,2023-12-09 00:00:00,Active,Mastercard,2028-12-05 00:00:00,0,
CD000159,A0005373,Debit,2023-07-06 00:00:00,2023-07-13 00:00:00,Active,RuPay,2028-07-06 00:00:00,2,
CD000160,A0005364,Debit,2023-10-01 00:00:00,2023-10-06 00:00:00,Active,Mastercard,2028-10-01 00:00:00,0,
CD000161,A0003096,Debit,2026-01-05 00:00:00,2026-01-05 00:00:00,Active,Visa,2031-01-05 00:00:00,0,
CD000162,A0004013,Debit,2022-02-22 00:00:00,2022-03-01 00:00:00,Inactive,Mastercard,2027-02-22 00:00:00,0,
CD000163,A0003843,Debit,2023-03-03 00:00:00,2023-03-04 00:00:00,Active,RuPay,2028-03-03 00:00:00,0,
CD000164,A0001790,Debit,2025-04-09 00:00:00,2025-04-09 00:00:00,Active,Visa,2030-04-09 00:00:00,0,
CD000165,A0003221,Credit,2025-11-02 00:00:00,2025-11-06 00:00:00,Active,Mastercard,2030-11-02 00:00:00,1,
CD000166,A0005168,Credit,2024-03-28 00:00:00,2024-03-31 00:00:00,Active,Visa,2029-03-28 00:00:00,0,
CD000167,A0000174,Debit,2022-09-16 00:00:00,2022-09-17 00:00:00,Active,Mastercard,2027-09-16 00:00:00,0,
CD000168,A0002581,Debit,2025-08-10 00:00:00,2025-08-12 00:00:00,Inactive,RuPay,2030-08-10 00:00:00,0,
CD000169,A0000844,Debit,2026-01-25 00:00:00,2026-01-27 00:00:00,Active,Mastercard,2031-01-25 00:00:00,2,
CD000170,A0005676,Debit,2025-03-11 00:00:00,2025-03-14 00:00:00,Active,Visa,2030-03-11 00:00:00,0,
CD000171,A0005396,Debit,2024-11-06 00:00:00,2024-11-12 00:00:00,Active,RuPay,2029-11-06 00:00:00,0,
CD000172,A0000796,Debit,2022-03-15 00:00:00,2022-03-22 00:00:00,Expired,Visa,2027-03-15 00:00:00,0,
CD000173,A0001106,Credit,2024-05-08 00:00:00,2024-05-15 00:00:00,Expired,RuPay,2029-05-08 00:00:00,0,
CD000174,A0005688,Debit,2025-01-01 00:00:00,2025-01-08 00:00:00,Blocked,Visa,2030-01-01 00:00:00,0,Lost
CD000175,A0003378,Debit,2023-02-22 00:00:00,2023-02-22 00:00:00,Expired,Visa,2028-02-22 00:00:00,3,
CD000176,A0003968,Debit,2025-10-16 00:00:00,2025-10-17 00:00:00,Active,RuPay,2030-10-16 00:00:00,0,
CD000177,A0000714,Debit,2025-03-06 00:00:00,2025-03-08 00:00:00,Active,RuPay,2030-03-06 00:00:00,1,
CD000178,A0002129,Debit,2026-04-04 00:00:00,2026-04-09 00:00:00,Active,Visa,2031-04-04 00:00:00,0,
CD000179,A0000916,Debit,2023-03-14 00:00:00,2023-03-18 00:00:00,Active,Visa,2028-03-14 00:00:00,0,
CD000180,A0006368,Debit,2022-05-24 00:00:00,2022-05-26 00:00:00,Expired,Visa,2027-05-24 00:00:00,0,
CD000181,A0000100,Debit,2022-02-01 00:00:00,2022-02-01 00:00:00,Blocked,Visa,2027-02-01 00:00:00,1,Lost
CD000182,A0004237,Debit,2024-11-02 00:00:00,2024-11-02 00:00:00,Active,Visa,2029-11-02 00:00:00,0,
CD000183,A0001128,Debit,2025-10-01 00:00:00,2025-10-08 00:00:00,Active,RuPay,2030-10-01 00:00:00,0,
CD000184,A0004768,Credit,2026-01-09 00:00:00,2026-01-15 00:00:00,Active,RuPay,2031-01-09 00:00:00,0,
CD000185,A0004439,Debit,2023-12-16 00:00:00,2023-12-23 00:00:00,Active,Mastercard,2028-12-16 00:00:00,0,
CD000186,A0002450,Debit,2022-06-04 00:00:00,2022-06-04 00:00:00,Active,Visa,2027-06-04 00:00:00,0,
CD000187,A0005882,Debit,2024-06-14 00:00:00,2024-06-18 00:00:00,Active,Mastercard,2029-06-14 00:00:00,0,
CD000188,A0003235,Debit,2024-09-12 00:00:00,2024-09-19 00:00:00,Blocked,Visa,2029-09-12 00:00:00,0,Customer Request
CD000189,A0000039,Debit,2023-07-29 00:00:00,2023-08-01 00:00:00,Active,Visa,2028-07-29 00:00:00,1,
CD000190,A0002036,Credit,2025-02-20 00:00:00,2025-02-24 00:00:00,Active,Visa,2030-02-20 00:00:00,0,
CD000191,A0003337,Debit,2024-03-21 00:00:00,2024-03-21 00:00:00,Active,Mastercard,2029-03-21 00:00:00,0,
CD000192,A0002580,Debit,2025-07-07 00:00:00,2025-07-12 00:00:00,Active,Mastercard,2030-07-07 00:00:00,0,
CD000193,A0002527,Debit,2026-05-21 00:00:00,2026-05-28 00:00:00,Active,RuPay,2031-05-21 00:00:00,0,
CD000194,A0003949,Debit,2025-02-20 00:00:00,2025-02-26 00:00:00,Active,Mastercard,2030-02-20 00:00:00,0,
CD000195,A0006033,Credit,2023-05-13 00:00:00,2023-05-14 00:00:00,Blocked,Visa,2028-05-13 00:00:00,0,Stolen
CD000196,A0004983,Debit,2023-01-30 00:00:00,2023-01-31 00:00:00,Inactive,Visa,2028-01-30 00:00:00,0,
CD000197,A0000566,Debit,2022-11-16 00:00:00,2022-11-22 00:00:00,Active,RuPay,2027-11-16 00:00:00,0,
CD000198,A0005212,Debit,2023-06-08 00:00:00,2023-06-15 00:00:00,Active,Mastercard,2028-06-08 00:00:00,0,
CD000199,A0000841,Debit,2022-03-31 00:00:00,2022-04-03 00:00:00,Active,Mastercard,2027-03-31 00:00:00,0,
CD000200,A0002253,Debit,2025-09-21 00:00:00,2025-09-28 00:00:00,Active,Mastercard,2030-09-21 00:00:00,0,
CD000201,A0001637,Credit,2025-09-19 00:00:00,2025-09-20 00:00:00,Active,Visa,2030-09-19 00:00:00,0,
CD000202,A0000824,Credit,2023-08-12 00:00:00,2023-08-14 00:00:00,Expired,Visa,2028-08-12 00:00:00,0,
CD000203,A0004721,Debit,2024-11-06 00:00:00,2024-11-10 00:00:00,Active,RuPay,2029-11-06 00:00:00,0,
CD000204,A0003118,Debit,2024-10-21 00:00:00,2024-10-23 00:00:00,Active,Visa,2029-10-21 00:00:00,0,
CD000205,A0000435,Debit,2022-10-14 00:00:00,2022-10-15 00:00:00,Active,RuPay,2027-10-14 00:00:00,0,
CD000206,A0004228,Debit,2022-07-28 00:00:00,2022-08-01 00:00:00,Active,Mastercard,2027-07-28 00:00:00,1,
CD000207,A0004416,Debit,2025-12-03 00:00:00,2025-12-05 00:00:00,Inactive,Visa,2030-12-03 00:00:00,0,
CD000208,A0005716,Debit,2023-11-19 00:00:00,2023-11-24 00:00:00,Active,Mastercard,2028-11-19 00:00:00,0,
CD000209,A0001880,Debit,2022-08-18 00:00:00,2022-08-24 00:00:00,Active,RuPay,2027-08-18 00:00:00,0,
CD000210,A0001822,Debit,2023-01-28 00:00:00,2023-01-28 00:00:00,Active,Visa,2028-01-28 00:00:00,0,
CD000211,A0000780,Debit,2025-12-12 00:00:00,2025-12-19 00:00:00,Active,Visa,2030-12-12 00:00:00,0,
CD000212,A0006261,Debit,2024-12-31 00:00:00,2025-01-06 00:00:00,Active,Mastercard,2029-12-31 00:00:00,0,
CD000213,A0002410,Debit,2025-03-24 00:00:00,2025-03-31 00:00:00,Active,RuPay,2030-03-24 00:00:00,0,
