Complaint_ID,Customer_ID,Account_ID,Complaint_Type,Channel,Created_Date,Priority,Assigned_Team,Status,Resolved_Date,Resolution_Hours,SLA_Status,Escalated,Root_Cause
CP0000019,C004192,A0004906,Account Issue,Email,2024-06-25 11:00:00,High,Digital Support,Closed,2024-06-26 08:00:00,21.0,Within SLA,No,Operations
CP0000020,C001843,A0000497,Transaction Failure,Email,2024-04-18 04:00:00,Medium,Digital Support,Resolved,2024-04-21 02:00:00,70.0,Breached,Yes,System/Network
CP0000021,C001668,A0004425,Transaction Failure,Web,2024-12-24 17:00:00,High,Cards Team,Resolved,2024-12-26 22:00:00,53.0,Breached,Yes,System/Network
CP0000022,C002155,A0000259,ATM Issue,Branch,2024-03-16 21:00:00,Medium,Cards Team,Resolved,2024-03-17 20:00:00,23.0,Within SLA,No,ATM/Network
CP0000023,C001595,A0001613,Account Issue,Mobile App,2024-04-02 10:00:00,Medium,Digital Support,Resolved,2024-04-03 23:00:00,37.0,Within SLA,No,Operations
CP0000024,C000484,A0003379,Account Issue,Call Center,2026-01-27 16:00:00,Medium,Branch Ops,Resolved,2026-01-28 22:00:00,30.0,Within SLA,No,Operations
CP0000025,C002855,A0005004,ATM Issue,Call Center,2025-07-28 00:00:00,Medium,Cards Team,Pending,,,Open,No,ATM/Network
CP0000026,C002051,A0004853,Account Issue,Call Center,2025-10-11 12:00:00,Medium,Cards Team,Pending,,,Open,No,Operations
CP0000027,C004049,A0000119,Transaction Failure,Call Center,2025-03-21 02:00:00,Medium,Digital Support,Resolved,2025-03-22 07:00:00,29.0,Within SLA,No,System/Network
CP0000028,C001453,A0005007,Billing/Charges,Call Center,2024-04-01 22:00:00,Medium,Cards Team,Resolved,2024-04-02 23:00:00,25.0,Within SLA,Yes,Fee/Charge Dispute
CP0000029,C002986,A0004829,ATM Issue,Branch,2025-08-07 21:00:00,Medium,Account Ops,In Progress,,,Open,No,ATM/Network
CP0000030,C001006,A0004033,Transaction Failure,Call Center,2024-02-08 09:00:00,Medium,Payments Team,Resolved,2024-02-10 11:00:00,50.0,Within SLA,No,System/Network
CP0000031,C000745,A0003261,Unauthorized Transaction,Call Center,2025-11-13 22:00:00,Medium,Branch Ops,Resolved,2025-11-15 12:00:00,38.0,Breached,Yes,Fraud/Security
CP0000032,C003992,A0000948,Transaction Failure,Call Center,2026-01-11 04:00:00,Medium,Branch Ops,Resolved,2026-01-14 16:00:00,84.0,Breached,Yes,System/Network
CP0000033,C000988,A0003517,Transaction Failure,Web,2025-10-23 05:00:00,Medium,Branch Ops,Pending,,,Open,No,System/Network
CP0000034,C002367,A0000200,Billing/Charges,Call Center,2025-04-10 20:00:00,Medium,Payments Team,Closed,2025-04-12 22:00:00,50.0,Breached,Yes,Fee/Charge Dispute
CP0000035,C000165,A0003010,Transaction Failure,Call Center,2025-09-20 00:00:00,Medium,Cards Team,Resolved,2025-09-20 17:00:00,17.0,Within SLA,No,System/Network
CP0000036,C001587,A0005760,Transaction Failure,Call Center,2026-06-21 17:00:00,Low,Digital Support,Resolved,2026-06-24 00:00:00,55.0,Within SLA,No,System/Network
CP0000037,C000020,A0002320,Card Issue,Email,2026-01-13 20:00:00,Low,Payments Team,Resolved,2026-01-16 07:00:00,59.0,Breached,Yes,Card Processing
CP0000038,C002062,A0000132,Card Issue,Branch,2025-04-16 22:00:00,Medium,Branch Ops,Resolved,2025-04-17 22:00:00,24.0,Within SLA,No,Card Processing
CP0000039,C003056,A0005997,Account Issue,Mobile App,2024-02-05 09:00:00,Medium,Account Ops,Resolved,2024-02-07 23:00:00,62.0,Breached,Yes,Operations
CP0000040,C001340,A0001050,Transaction Failure,Call Center,2026-01-26 06:00:00,Critical,Account Ops,Closed,2026-01-28 13:00:00,55.0,Breached,Yes,System/Network
CP0000041,C000315,A0005976,Digital Banking Issue,Mobile App,2024-02-24 02:00:00,Critical,Branch Ops,Pending,,,Open,No,App/System
CP0000042,C002944,A0001016,Account Issue,Mobile App,2024-11-19 17:00:00,Medium,Payments Team,Resolved,2024-11-22 10:00:00,65.0,Breached,Yes,Operations
CP0000043,C001113,A0001608,Account Issue,Mobile App,2025-10-10 15:00:00,Medium,Account Ops,Resolved,2025-10-13 12:00:00,69.0,Breached,Yes,Operations
CP0000044,C004487,A0001334,Digital Banking Issue,Call Center,2024-09-11 16:00:00,High,Payments Team,Resolved,2024-09-14 00:00:00,56.0,Breached,Yes,App/System
CP0000045,C001189,A0002054,Card Issue,Mobile App,2024-06-22 13:00:00,Medium,Payments Team,Closed,2024-06-24 16:00:00,51.0,Breached,Yes,Card Processing
CP0000046,C004947,A0004688,Transaction Failure,Web,2025-02-14 10:00:00,High,Account Ops,Resolved,2025-02-16 14:00:00,52.0,Breached,Yes,System/Network
CP0000047,C003438,A0000418,Account Issue,Call Center,2025-03-19 02:00:00,Medium,Cards Team,Resolved,2025-03-20 16:00:00,38.0,Within SLA,No,Operations
CP0000048,C002277,A0000724,Account Issue,Call Center,2025-05-02 20:00:00,Medium,Cards Team,Closed,2025-05-04 16:00:00,44.0,Within SLA,No,Operations
CP0000049,C003528,A0002488,Card Issue,Branch,2026-04-06 12:00:00,High,Payments Team,Resolved,2026-04-06 21:00:00,9.0,Within SLA,No,Card Processing
CP0000050,C004570,A0000806,Card Issue,Mobile App,2024-12-11 12:00:00,Low,Payments Team,Resolved,2024-12-12 05:00:00,17.0,Within SLA,No,Card Processing
CP0000051,C004465,A0003507,Account Issue,Call Center,2024-12-02 12:00:00,Medium,Cards Team,Resolved,2024-12-03 08:00:00,20.0,Within SLA,No,Operations
CP0000052,C001565,A0006200,Card Issue,Mobile App,2025-01-18 01:00:00,Medium,Branch Ops,Resolved,2025-01-18 07:00:00,6.0,Within SLA,No,Card Processing
CP0000053,C000419,A0001070,Account Issue,Web,2024-04-23 11:00:00,High,Digital Support,Resolved,2024-04-24 04:00:00,17.0,Within SLA,Yes,Operations
CP0000054,C004537,A0003245,Unauthorized Transaction,Mobile App,2026-04-22 06:00:00,High,Cards Team,Resolved,2026-04-24 16:00:00,58.0,Breached,Yes,Fraud/Security
CP0000055,C003521,A0005257,Digital Banking Issue,Call Center,2024-05-12 04:00:00,Medium,Branch Ops,Resolved,2024-05-13 05:00:00,25.0,Within SLA,No,App/System
CP0000056,C002331,A0005737,Transaction Failure,Call Center,2024-10-08 11:00:00,Low,Account Ops,Resolved,2024-10-09 10:00:00,23.0,Within SLA,No,System/Network
CP0000057,C001786,A0000700,Billing/Charges,Branch,2026-04-12 16:00:00,Low,Account Ops,Resolved,2026-04-13 09:00:00,17.0,Within SLA,No,Fee/Charge Dispute
CP0000058,C002223,A0003607,Transaction Failure,Call Center,2024-03-24 09:00:00,High,Payments Team,Resolved,2024-03-25 18:00:00,33.0,Within SLA,No,System/Network
CP0000059,C003086,A0001020,Digital Banking Issue,Branch,2024-01-21 19:00:00,Medium,Account Ops,Resolved,2024-01-26 22:00:00,123.0,Breached,Yes,App/System
CP0000060,C003604,A0004820,Transaction Failure,Call Center,2024-04-16 07:00:00,Medium,Branch Ops,Resolved,2024-04-20 14:00:00,103.0,Breached,Yes,System/Network
CP0000061,C002455,A0004023,Account Issue,Branch,2026-03-08 01:00:00,Critical,Account Ops,Resolved,2026-03-09 14:00:00,37.0,Within SLA,No,Operations
CP0000062,C002983,A0000187,Digital Banking Issue,Mobile App,2026-02-01 19:00:00,Low,Payments Team,Resolved,2026-02-04 19:00:00,72.0,Breached,Yes,App/System
CP0000063,C004504,A0004427,Card Issue,Mobile App,2025-02-11 01:00:00,Low,Cards Team,Closed,2025-02-12 01:00:00,24.0,Within SLA,No,Card Processing
CP0000064,C000098,A0003251,Card Issue,Call Center,2024-11-29 01:00:00,Medium,Cards Team,Resolved,2024-11-29 09:00:00,8.0,Within SLA,No,Card Processing
CP0000065,C002172,A0006387,Transaction Failure,Mobile App,2025-12-31 02:00:00,Medium,Branch Ops,Resolved,2025-12-31 20:00:00,18.0,Within SLA,No,System/Network
CP0000066,C004602,A0001508,Card Issue,Branch,2025-12-22 23:00:00,High,Cards Team,Closed,2025-12-24 08:00:00,33.0,Breached,Yes,Card Processing
CP0000067,C004355,A0000406,Card Issue,Email,2024-07-04 21:00:00,Low,Account Ops,In Progress,,,Open,No,Card Processing
CP0000068,C004806,A0003454,Unauthorized Transaction,Branch,2026-01-01 03:00:00,Medium,Cards Team,Resolved,2026-01-02 20:00:00,41.0,Breached,Yes,Fraud/Security
CP0000069,C002763,A0000836,ATM Issue,Call Center,2026-05-02 12:00:00,Medium,Payments Team,Pending,,,Open,No,ATM/Network
CP0000070,C003260,A0000684,Unauthorized Transaction,Mobile App,2024-10-02 00:00:00,Medium,Payments Team,Closed,2024-10-05 07:00:00,79.0,Breached,Yes,Fraud/Security
CP0000071,C000907,A0002399,Transaction Failure,Branch,2024-07-24 13:00:00,High,Payments Team,Resolved,2024-07-26 12:00:00,47.0,Within SLA,No,System/Network
CP0000072,C000751,A0006059,Account Issue,Call Center,2026-02-11 13:00:00,High,Payments Team,Resolved,2026-02-12 12:00:00,23.0,Within SLA,No,Operations
CP0000073,C003622,A0006105,ATM Issue,Call Center,2026-02-04 14:00:00,Critical,Payments Team,Resolved,2026-02-05 09:00:00,19.0,Within SLA,No,ATM/Network
CP0000074,C000607,A0004861,Unauthorized Transaction,Call Center,2025-02-20 14:00:00,Medium,Branch Ops,Resolved,2025-02-22 03:00:00,37.0,Within SLA,No,Fraud/Security
CP0000075,C004912,A0005795,Card Issue,Call Center,2025-03-05 13:00:00,High,Account Ops,Resolved,2025-03-06 05:00:00,16.0,Within SLA,No,Card Processing
CP0000076,C004100,A0006131,Transaction Failure,Mobile App,2024-05-21 10:00:00,Medium,Digital Support,Closed,2024-05-22 21:00:00,35.0,Within SLA,No,System/Network
CP0000077,C003038,A0004271,Digital Banking Issue,Email,2025-04-19 13:00:00,Medium,Cards Team,Resolved,2025-04-20 19:00:00,30.0,Within SLA,Yes,App/System
CP0000078,C001278,A0002116,Account Issue,Email,2025-06-02 09:00:00,Medium,Payments Team,Resolved,2025-06-06 07:00:00,94.0,Breached,Yes,Operations
CP0000079,C004399,A0005646,Account Issue,Call Center,2025-07-02 11:00:00,High,Payments Team,Resolved,2025-07-04 03:00:00,40.0,Within SLA,No,Operations
CP0000080,C003081,A0004363,Transaction Failure,Branch,2026-06-27 12:00:00,Medium,Cards Team,Resolved,2026-06-28 04:00:00,16.0,Within SLA,No,System/Network
CP0000081,C001930,A0005092,Account Issue,Mobile App,2025-09-30 13:00:00,Medium,Digital Support,Resolved,2025-10-01 15:00:00,26.0,Within SLA,No,Operations
CP0000082,C002329,A0002641,Digital Banking Issue,Mobile App,2025-12-09 15:00:00,High,Digital Support,Resolved,2025-12-10 14:00:00,23.0,Within SLA,No,App/System
CP0000083,C000678,A0005072,Digital Banking Issue,Web,2025-01-18 18:00:00,Medium,Branch Ops,In Progress,,,Open,No,App/System
CP0000084,C001726,A0001216,ATM Issue,Branch,2025-04-24 21:00:00,Medium,Account Ops,Resolved,2025-04-26 03:00:00,30.0,Within SLA,Yes,ATM/Network
CP0000085,C001808,A0002973,Transaction Failure,Call Center,2024-09-13 09:00:00,Medium,Digital Support,Resolved,2024-09-14 00:00:00,15.0,Within SLA,No,System/Network
CP0000086,C003775,A0004782,Transaction Failure,Mobile App,2024-04-07 01:00:00,Medium,Digital Support,Resolved,2024-04-09 18:00:00,65.0,Breached,Yes,System/Network
CP0000087,C004917,A0002907,Card Issue,Branch,2024-05-01 01:00:00,Medium,Cards Team,Closed,2024-05-01 12:00:00,11.0,Within SLA,Yes,Card Processing
CP0000088,C004307,A0003273,Unauthorized Transaction,Call Center,2024-03-13 10:00:00,High,Cards Team,Resolved,2024-03-14 12:00:00,26.0,Within SLA,No,Fraud/Security
CP0000089,C001547,A0003526,Account Issue,Call Center,2026-05-29 12:00:00,Low,Branch Ops,Resolved,2026-05-30 20:00:00,32.0,Within SLA,No,Operations
CP0000090,C000935,A0001542,Account Issue,Mobile App,2024-05-09 08:00:00,Critical,Branch Ops,Closed,2024-05-11 14:00:00,54.0,Breached,Yes,Operations
CP0000091,C003937,A0001291,Billing/Charges,Mobile App,2025-01-09 13:00:00,Medium,Cards Team,Resolved,2025-01-10 10:00:00,21.0,Within SLA,No,Fee/Charge Dispute
CP0000092,C004654,A0001556,Digital Banking Issue,Mobile App,2026-02-18 09:00:00,Medium,Branch Ops,Resolved,2026-02-18 22:00:00,13.0,Within SLA,No,App/System
CP0000093,C001120,A0001709,ATM Issue,Mobile App,2025-12-16 01:00:00,High,Account Ops,Resolved,2025-12-18 06:00:00,53.0,Breached,Yes,ATM/Network
CP0000094,C004991,A0002563,Billing/Charges,Branch,2024-07-25 10:00:00,Medium,Branch Ops,Closed,2024-07-25 23:00:00,13.0,Within SLA,No,Fee/Charge Dispute
CP0000095,C004947,A0000832,Billing/Charges,Call Center,2025-07-07 02:00:00,Low,Branch Ops,Resolved,2025-07-11 00:00:00,94.0,Breached,Yes,Fee/Charge Dispute
CP0000096,C002021,A0000856,Account Issue,Email,2026-06-04 07:00:00,Medium,Payments Team,Resolved,2026-06-04 22:00:00,15.0,Within SLA,No,Operations
CP0000097,C003117,A0005872,Digital Banking Issue,Email,2026-04-23 18:00:00,Medium,Account Ops,In Progress,,,Open,No,App/System
CP0000098,C002934,A0003851,Billing/Charges,Web,2025-02-18 12:00:00,Medium,Payments Team,In Progress,,,Open,No,Fee/Charge Dispute
CP0000099,C003630,A0003295,Transaction Failure,Branch,2025-10-29 10:00:00,Medium,Branch Ops,Closed,2025-10-31 05:00:00,43.0,Within SLA,No,System/Network
CP0000100,C002384,A0003452,Transaction Failure,Call Center,2025-12-03 13:00:00,Medium,Account Ops,Resolved,2025-12-05 22:00:00,57.0,Breached,Yes,System/Network
CP0000101,C001639,A0005491,ATM Issue,Email,2026-06-27 13:00:00,Low,Account Ops,Resolved,2026-06-29 04:00:00,39.0,Within SLA,No,ATM/Network
CP0000102,C001031,A0002537,Account Issue,Web,2024-02-28 09:00:00,Medium,Digital Support,Closed,2024-02-29 16:00:00,31.0,Breached,Yes,Operations
CP0000103,C002271,A0000949,Digital Banking Issue,Call Center,2024-06-24 15:00:00,Medium,Account Ops,Resolved,2024-06-26 00:00:00,33.0,Within SLA,No,App/System
CP0000104,C001746,A0005414,ATM Issue,Call Center,2024-01-27 00:00:00,Medium,Digital Support,Closed,2024-01-27 15:00:00,15.0,Within SLA,No,ATM/Network
CP0000105,C001180,A0006268,Digital Banking Issue,Call Center,2026-04-07 05:00:00,Low,Account Ops,Resolved,2026-04-08 13:00:00,32.0,Within SLA,No,App/System
CP0000106,C001914,A0000426,Billing/Charges,Branch,2024-08-25 06:00:00,Medium,Cards Team,Resolved,2024-08-28 13:00:00,79.0,Breached,Yes,Fee/Charge Dispute
CP0000107,C003064,A0004400,Billing/Charges,Mobile App,2024-09-22 01:00:00,Medium,Cards Team,Resolved,2024-09-25 16:00:00,87.0,Breached,Yes,Fee/Charge Dispute
CP0000108,C003273,A0000273,Account Issue,Mobile App,2024-10-28 07:00:00,High,Cards Team,Resolved,2024-10-29 22:00:00,39.0,Within SLA,No,Operations
CP0000109,C003577,A0004422,Transaction Failure,Call Center,2024-09-21 19:00:00,Medium,Account Ops,Closed,2024-09-23 18:00:00,47.0,Breached,Yes,System/Network
CP0000110,C002249,A0000630,Digital Banking Issue,Branch,2026-02-01 12:00:00,Critical,Account Ops,Resolved,2026-02-02 23:00:00,35.0,Within SLA,No,App/System
CP0000111,C004461,A0005664,Account Issue,Call Center,2026-05-24 10:00:00,High,Branch Ops,Resolved,2026-05-25 19:00:00,33.0,Breached,Yes,Operations
CP0000112,C002781,A0006399,Account Issue,Mobile App,2025-03-17 10:00:00,High,Account Ops,Resolved,2025-03-17 16:00:00,6.0,Within SLA,No,Operations
CP0000113,C001985,A0003118,Transaction Failure,Mobile App,2025-12-19 21:00:00,Medium,Payments Team,In Progress,,,Open,No,System/Network
CP0000114,C004697,A0003484,Transaction Failure,Call Center,2024-01-20 16:00:00,Medium,Cards Team,Pending,,,Open,No,System/Network
CP0000115,C000770,A0001566,Billing/Charges,Call Center,2026-05-29 10:00:00,High,Branch Ops,Resolved,2026-05-30 02:00:00,16.0,Within SLA,No,Fee/Charge Dispute
CP0000116,C001940,A0002877,Account Issue,Mobile App,2024-04-28 07:00:00,Medium,Account Ops,Resolved,2024-05-03 18:00:00,131.0,Breached,Yes,Operations
CP0000117,C003850,A0004654,Card Issue,Call Center,2024-06-13 13:00:00,Low,Payments Team,Resolved,2024-06-15 06:00:00,41.0,Within SLA,No,Card Processing
CP0000118,C004228,A0005570,Digital Banking Issue,Mobile App,2025-04-16 04:00:00,High,Account Ops,Resolved,2025-04-16 18:00:00,14.0,Within SLA,No,App/System
CP0000119,C001142,A0006330,Digital Banking Issue,Mobile App,2025-09-27 15:00:00,Medium,Digital Support,Resolved,2025-09-30 04:00:00,61.0,Within SLA,No,App/System
CP0000120,C004579,A0005510,Billing/Charges,Mobile App,2024-07-14 06:00:00,High,Payments Team,Resolved,2024-07-17 09:00:00,75.0,Breached,Yes,Fee/Charge Dispute
CP0000121,C001910,A0000918,ATM Issue,Call Center,2024-06-25 13:00:00,High,Cards Team,Resolved,2024-06-26 19:00:00,30.0,Within SLA,No,ATM/Network
CP0000122,C002411,A0000720,Card Issue,Mobile App,2026-02-11 23:00:00,High,Cards Team,Closed,2026-02-12 12:00:00,13.0,Within SLA,No,Card Processing
CP0000123,C002803,A0001247,Billing/Charges,Branch,2024-07-26 12:00:00,Low,Branch Ops,Resolved,2024-07-30 10:00:00,94.0,Breached,Yes,Fee/Charge Dispute
CP0000124,C002294,A0002252,Transaction Failure,Mobile App,2025-11-19 13:00:00,Medium,Digital Support,Resolved,2025-11-21 12:00:00,47.0,Within SLA,No,System/Network
CP0000125,C000931,A0004449,Card Issue,Branch,2025-06-10 13:00:00,Critical,Account Ops,Resolved,2025-06-12 14:00:00,49.0,Breached,Yes,Card Processing
CP0000126,C004612,A0001070,ATM Issue,Call Center,2025-12-31 21:00:00,Medium,Payments Team,Resolved,2026-01-02 07:00:00,34.0,Breached,Yes,ATM/Network
CP0000127,C002169,A0004528,ATM Issue,Mobile App,2026-03-09 09:00:00,Medium,Digital Support,In Progress,,,Open,No,ATM/Network
CP0000128,C001994,A0000398,Transaction Failure,Mobile App,2025-12-09 07:00:00,Medium,Cards Team,Closed,2025-12-10 23:00:00,40.0,Breached,Yes,System/Network
CP0000129,C003751,A0005480,Unauthorized Transaction,Call Center,2024-04-03 23:00:00,Medium,Digital Support,Pending,,,Open,No,Fraud/Security
CP0000130,C002082,A0005902,Digital Banking Issue,Call Center,2026-04-08 16:00:00,Medium,Cards Team,Resolved,2026-04-10 10:00:00,42.0,Within SLA,No,App/System
CP0000131,C001389,A0006237,Card Issue,Mobile App,2024-09-29 17:00:00,Medium,Branch Ops,Closed,2024-10-02 16:00:00,71.0,Breached,Yes,Card Processing
CP0000132,C002266,A0003202,Unauthorized Transaction,Mobile App,2025-08-23 04:00:00,Medium,Digital Support,Resolved,2025-08-24 14:00:00,34.0,Within SLA,No,Fraud/Security
CP0000133,C001436,A0005172,Account Issue,Call Center,2025-03-16 07:00:00,High,Branch Ops,Resolved,2025-03-17 23:00:00,40.0,Breached,Yes,Operations
CP0000134,C001367,A0006429,Digital Banking Issue,Branch,2024-04-11 03:00:00,High,Branch Ops,Resolved,2024-04-14 00:00:00,69.0,Breached,Yes,App/System
CP0000135,C003680,A0000266,ATM Issue,Branch,2026-01-08 08:00:00,Medium,Branch Ops,Resolved,2026-01-09 18:00:00,34.0,Within SLA,No,ATM/Network
CP0000136,C000028,A0000208,ATM Issue,Mobile App,2025-09-09 04:00:00,Low,Branch Ops,Resolved,2025-09-12 23:00:00,91.0,Breached,Yes,ATM/Network
CP0000137,C000738,A0000289,Account Issue,Mobile App,2026-04-25 14:00:00,Medium,Payments Team,Closed,2026-04-26 03:00:00,13.0,Within SLA,No,Operations
CP0000138,C001971,A0005550,Card Issue,Mobile App,2026-02-08 02:00:00,Medium,Payments Team,Closed,2026-02-10 20:00:00,66.0,Breached,Yes,Card Processing
CP0000139,C001675,A0005478,Unauthorized Transaction,Branch,2024-05-06 05:00:00,Medium,Account Ops,Resolved,2024-05-06 20:00:00,15.0,Within SLA,No,Fraud/Security
CP0000140,C001390,A0006211,Digital Banking Issue,Email,2026-03-04 01:00:00,Critical,Branch Ops,Closed,2026-03-05 18:00:00,41.0,Within SLA,No,App/System
CP0000141,C003249,A0005076,Transaction Failure,Branch,2024-06-25 21:00:00,High,Branch Ops,Resolved,2024-06-27 14:00:00,41.0,Within SLA,No,System/Network
CP0000142,C003458,A0003566,Unauthorized Transaction,Branch,2024-06-19 03:00:00,Medium,Cards Team,Resolved,2024-06-20 12:00:00,33.0,Breached,Yes,Fraud/Security
CP0000143,C001908,A0004049,Account Issue,Call Center,2026-06-18 17:00:00,Medium,Branch Ops,Resolved,2026-06-20 09:00:00,40.0,Within SLA,No,Operations
CP0000144,C004475,A0005807,Digital Banking Issue,Branch,2024-05-24 05:00:00,Medium,Digital Support,Closed,2024-05-25 08:00:00,27.0,Within SLA,No,App/System
CP0000145,C002030,A0001325,Transaction Failure,Mobile App,2025-02-19 14:00:00,Low,Digital Support,Pending,,,Open,No,System/Network
CP0000146,C001696,A0004552,Billing/Charges,Branch,2024-06-28 02:00:00,High,Cards Team,Resolved,2024-07-01 19:00:00,89.0,Breached,Yes,Fee/Charge Dispute
CP0000147,C003735,A0002760,Unauthorized Transaction,Mobile App,2025-10-29 15:00:00,Medium,Digital Support,Resolved,2025-11-01 03:00:00,60.0,Breached,Yes,Fraud/Security
CP0000148,C003605,A0000535,Billing/Charges,Call Center,2024-06-30 20:00:00,Medium,Cards Team,Resolved,2024-07-01 11:00:00,15.0,Within SLA,No,Fee/Charge Dispute
CP0000149,C001069,A0001386,Account Issue,Web,2025-02-01 00:00:00,High,Payments Team,Resolved,2025-02-02 12:00:00,36.0,Breached,Yes,Operations
CP0000150,C003243,A0001581,Transaction Failure,Call Center,2024-01-12 10:00:00,High,Payments Team,Resolved,2024-01-14 14:00:00,52.0,Within SLA,No,System/Network
CP0000151,C003700,A0000967,Digital Banking Issue,Call Center,2024-12-22 09:00:00,Medium,Cards Team,Resolved,2024-12-23 12:00:00,27.0,Breached,Yes,App/System
CP0000152,C002752,A0002018,Transaction Failure,Branch,2025-09-22 06:00:00,Medium,Account Ops,Resolved,2025-09-24 15:00:00,57.0,Breached,Yes,System/Network
CP0000153,C004927,A0005101,Unauthorized Transaction,Mobile App,2026-01-04 03:00:00,High,Cards Team,Resolved,2026-01-05 04:00:00,25.0,Within SLA,No,Fraud/Security
CP0000154,C003032,A0005429,Account Issue,Mobile App,2025-09-12 20:00:00,Medium,Digital Support,Resolved,2025-09-14 13:00:00,41.0,Within SLA,No,Operations
CP0000155,C000761,A0000373,Card Issue,Branch,2024-04-28 12:00:00,Medium,Cards Team,Closed,2024-04-29 03:00:00,15.0,Within SLA,No,Card Processing
CP0000156,C003076,A0004367,Billing/Charges,Email,2026-03-22 13:00:00,Medium,Digital Support,Closed,2026-03-24 10:00:00,45.0,Within SLA,No,Fee/Charge Dispute
CP0000157,C001480,A0004085,ATM Issue,Branch,2024-06-10 01:00:00,Medium,Digital Support,Closed,2024-06-12 04:00:00,51.0,Breached,Yes,ATM/Network
CP0000158,C000665,A0006157,Unauthorized Transaction,Call Center,2026-03-18 00:00:00,Medium,Cards Team,Resolved,2026-03-19 12:00:00,36.0,Within SLA,Yes,Fraud/Security
CP0000159,C001001,A0005333,Unauthorized Transaction,Call Center,2024-08-01 13:00:00,Medium,Digital Support,Pending,,,Open,No,Fraud/Security
CP0000160,C002717,A0000672,ATM Issue,Web,2024-10-13 04:00:00,Medium,Account Ops,Resolved,2024-10-14 23:00:00,43.0,Breached,Yes,ATM/Network
CP0000161,C004805,A0004010,ATM Issue,Mobile App,2024-09-24 23:00:00,Medium,Account Ops,Resolved,2024-09-25 08:00:00,9.0,Within SLA,No,ATM/Network
CP0000162,C000187,A0003248,Account Issue,Mobile App,2024-12-17 18:00:00,Low,Digital Support,Closed,2024-12-18 23:00:00,29.0,Breached,Yes,Operations
CP0000163,C002894,A0004318,Transaction Failure,Mobile App,2026-05-24 20:00:00,High,Cards Team,Resolved,2026-05-26 12:00:00,40.0,Breached,Yes,System/Network
CP0000164,C000405,A0002810,Transaction Failure,Mobile App,2025-05-28 09:00:00,Medium,Account Ops,In Progress,,,Open,No,System/Network
CP0000165,C003487,A0006166,Unauthorized Transaction,Mobile App,2024-08-20 22:00:00,Medium,Branch Ops,In Progress,,,Open,No,Fraud/Security
