Payment_ID,Loan_ID,Due_Date,Payment_Date,EMI_Amount,Amount_Paid,Payment_Status,Days_Past_Due,Payment_Mode
LP00000018,L000006,2025-09-19 00:00:00,2025-09-19 00:00:00,9558.0,9558.0,Paid,0,Branch
LP00000019,L000006,2025-10-19 00:00:00,2025-10-19 00:00:00,9558.0,9558.0,Paid,0,UPI
LP00000020,L000006,2025-11-19 00:00:00,2025-11-19 00:00:00,9558.0,9558.0,Paid,0,Auto Debit
LP00000021,L000006,2025-12-19 00:00:00,2025-12-19 00:00:00,9558.0,9558.0,Paid,0,Auto Debit
LP00000022,L000006,2026-01-19 00:00:00,2026-01-19 00:00:00,9558.0,9558.0,Paid,0,UPI
LP00000023,L000006,2026-02-19 00:00:00,2026-02-19 00:00:00,9558.0,9558.0,Paid,0,NEFT
LP00000024,L000006,2026-03-19 00:00:00,2026-06-21 00:00:00,9558.0,3846.05,Overdue,94,Branch
LP00000025,L000007,2024-07-18 00:00:00,2024-07-18 00:00:00,14184.0,14184.0,Paid,0,NEFT
LP00000026,L000007,2024-08-18 00:00:00,2024-08-18 00:00:00,14184.0,14184.0,Paid,0,UPI
LP00000027,L000007,2024-09-18 00:00:00,2024-09-18 00:00:00,14184.0,14184.0,Paid,0,UPI
LP00000028,L000007,2024-10-18 00:00:00,2024-10-18 00:00:00,14184.0,14184.0,Paid,0,Branch
LP00000029,L000007,2024-11-18 00:00:00,2024-11-18 00:00:00,14184.0,14184.0,Paid,0,UPI
LP00000030,L000007,2024-12-18 00:00:00,2024-12-18 00:00:00,14184.0,14184.0,Paid,0,Auto Debit
LP00000031,L000007,2025-01-18 00:00:00,2025-01-18 00:00:00,14184.0,14184.0,Paid,0,UPI
LP00000032,L000007,2025-02-18 00:00:00,2025-02-18 00:00:00,14184.0,14184.0,Paid,0,Branch
LP00000033,L000007,2025-03-18 00:00:00,2025-03-18 00:00:00,14184.0,14184.0,Paid,0,NEFT
LP00000034,L000007,2025-04-18 00:00:00,2025-04-18 00:00:00,14184.0,14184.0,Paid,0,UPI
LP00000035,L000007,2025-05-18 00:00:00,2025-06-08 00:00:00,14184.0,14184.0,Late,21,NEFT
LP00000036,L000007,2025-06-18 00:00:00,2025-06-18 00:00:00,14184.0,14184.0,Paid,0,NEFT
LP00000037,L000007,2025-07-18 00:00:00,2025-07-18 00:00:00,14184.0,14184.0,Paid,0,Auto Debit
LP00000038,L000007,2025-08-18 00:00:00,2025-08-18 00:00:00,14184.0,14184.0,Paid,0,Branch
LP00000039,L000007,2025-09-18 00:00:00,2025-09-18 00:00:00,14184.0,14184.0,Paid,0,NEFT
LP00000040,L000007,2025-10-18 00:00:00,2025-10-18 00:00:00,14184.0,14184.0,Paid,0,Auto Debit
LP00000041,L000008,2025-07-08 00:00:00,2025-10-04 00:00:00,70551.0,36122.06,Overdue,88,UPI
LP00000042,L000008,2025-08-08 00:00:00,2025-08-08 00:00:00,70551.0,70551.0,Paid,0,NEFT
LP00000043,L000008,2025-09-08 00:00:00,2025-12-01 00:00:00,70551.0,50704.68,Overdue,84,NEFT
LP00000044,L000008,2025-10-08 00:00:00,2025-10-08 00:00:00,70551.0,70551.0,Paid,0,UPI
LP00000045,L000008,2025-11-08 00:00:00,2026-01-21 00:00:00,70551.0,63660.02,Overdue,74,UPI
LP00000046,L000008,2025-12-08 00:00:00,2025-12-08 00:00:00,70551.0,70551.0,Paid,0,Auto Debit
LP00000047,L000008,2026-01-08 00:00:00,2026-01-08 00:00:00,70551.0,70551.0,Paid,0,UPI
LP00000048,L000008,2026-02-08 00:00:00,2026-05-02 00:00:00,70551.0,62205.38,Overdue,83,UPI
LP00000049,L000008,2026-03-08 00:00:00,2026-03-08 00:00:00,70551.0,70551.0,Paid,0,Branch
LP00000050,L000008,2026-04-08 00:00:00,2026-04-08 00:00:00,70551.0,70551.0,Paid,0,NEFT
LP00000051,L000008,2026-05-08 00:00:00,2026-06-13 00:00:00,70551.0,47627.68,Overdue,36,UPI
LP00000052,L000008,2026-06-08 00:00:00,2026-06-08 00:00:00,70551.0,70551.0,Paid,0,Branch
LP00000053,L000008,2026-07-08 00:00:00,2026-08-31 00:00:00,70551.0,30013.78,Overdue,54,Auto Debit
LP00000054,L000009,2024-05-09 00:00:00,2024-05-09 00:00:00,2889.0,2889.0,Paid,0,Auto Debit
LP00000055,L000009,2024-06-09 00:00:00,2024-06-09 00:00:00,2889.0,2889.0,Paid,0,Branch
LP00000056,L000009,2024-07-09 00:00:00,2024-07-09 00:00:00,2889.0,2889.0,Paid,0,Auto Debit
LP00000057,L000009,2024-08-09 00:00:00,2024-08-09 00:00:00,2889.0,2889.0,Paid,0,UPI
LP00000058,L000009,2024-09-09 00:00:00,2024-09-09 00:00:00,2889.0,2889.0,Paid,0,Auto Debit
LP00000059,L000009,2024-10-09 00:00:00,2024-10-09 00:00:00,2889.0,2889.0,Paid,0,UPI
LP00000060,L000009,2024-11-09 00:00:00,2024-11-09 00:00:00,2889.0,2889.0,Paid,0,UPI
LP00000061,L000009,2024-12-09 00:00:00,2024-12-26 00:00:00,2889.0,2889.0,Late,17,UPI
LP00000062,L000009,2025-01-09 00:00:00,2025-01-09 00:00:00,2889.0,2889.0,Paid,0,Auto Debit
LP00000063,L000009,2025-02-09 00:00:00,2025-02-09 00:00:00,2889.0,2889.0,Paid,0,UPI
LP00000064,L000009,2025-03-09 00:00:00,2025-03-09 00:00:00,2889.0,2889.0,Paid,0,UPI
LP00000065,L000010,2025-09-09 00:00:00,2025-09-09 00:00:00,37417.5,37417.5,Paid,0,UPI
LP00000066,L000010,2025-10-09 00:00:00,2025-10-09 00:00:00,37417.5,37417.5,Paid,0,Auto Debit
LP00000067,L000010,2025-11-09 00:00:00,2025-11-09 00:00:00,37417.5,37417.5,Paid,0,Branch
LP00000068,L000010,2025-12-09 00:00:00,2025-12-09 00:00:00,37417.5,37417.5,Paid,0,Branch
LP00000069,L000010,2026-01-09 00:00:00,2026-01-09 00:00:00,37417.5,37417.5,Paid,0,NEFT
LP00000070,L000011,2024-01-25 00:00:00,2024-01-25 00:00:00,13629.0,13629.0,Paid,0,UPI
LP00000071,L000011,2024-02-25 00:00:00,2024-02-25 00:00:00,13629.0,13629.0,Paid,0,UPI
LP00000072,L000011,2024-03-25 00:00:00,2024-04-23 00:00:00,13629.0,13629.0,Late,29,UPI
LP00000073,L000011,2024-04-25 00:00:00,2024-04-25 00:00:00,13629.0,13629.0,Paid,0,Branch
LP00000074,L000011,2024-05-25 00:00:00,2024-08-30 00:00:00,13629.0,10394.19,Overdue,97,UPI
LP00000075,L000011,2024-06-25 00:00:00,2024-06-25 00:00:00,13629.0,13629.0,Paid,0,UPI
LP00000076,L000011,2024-07-25 00:00:00,2024-07-25 00:00:00,13629.0,13629.0,Paid,0,NEFT
LP00000077,L000011,2024-08-25 00:00:00,2024-08-25 00:00:00,13629.0,13629.0,Paid,0,NEFT
LP00000078,L000011,2024-09-25 00:00:00,2024-09-25 00:00:00,13629.0,13629.0,Paid,0,Branch
LP00000079,L000011,2024-10-25 00:00:00,2024-10-25 00:00:00,13629.0,13629.0,Paid,0,UPI
LP00000080,L000011,2024-11-25 00:00:00,2024-11-25 00:00:00,13629.0,13629.0,Paid,0,NEFT
LP00000081,L000011,2024-12-25 00:00:00,2024-12-25 00:00:00,13629.0,13629.0,Paid,0,Branch
LP00000082,L000011,2025-01-25 00:00:00,2025-01-25 00:00:00,13629.0,13629.0,Paid,0,Auto Debit
LP00000083,L000011,2025-02-25 00:00:00,2025-02-25 00:00:00,13629.0,13629.0,Paid,0,NEFT
LP00000084,L000011,2025-03-25 00:00:00,2025-03-25 00:00:00,13629.0,13629.0,Paid,0,Branch
LP00000085,L000012,2023-06-03 00:00:00,2023-06-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000086,L000012,2023-07-03 00:00:00,2023-07-03 00:00:00,6183.0,6183.0,Paid,0,UPI
LP00000087,L000012,2023-08-03 00:00:00,2023-08-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000088,L000012,2023-09-03 00:00:00,2023-09-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000089,L000012,2023-10-03 00:00:00,2023-10-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000090,L000012,2023-11-03 00:00:00,2023-11-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000091,L000012,2023-12-03 00:00:00,2023-12-03 00:00:00,6183.0,6183.0,Paid,0,UPI
LP00000092,L000012,2024-01-03 00:00:00,2024-01-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000093,L000012,2024-02-03 00:00:00,2024-02-03 00:00:00,6183.0,6183.0,Paid,0,Auto Debit
LP00000094,L000012,2024-03-03 00:00:00,2024-03-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000095,L000012,2024-04-03 00:00:00,2024-06-04 00:00:00,6183.0,5381.59,Overdue,62,Branch
LP00000096,L000012,2024-05-03 00:00:00,2024-05-03 00:00:00,6183.0,6183.0,Paid,0,Auto Debit
LP00000097,L000012,2024-06-03 00:00:00,2024-06-03 00:00:00,6183.0,6183.0,Paid,0,NEFT
LP00000098,L000012,2024-07-03 00:00:00,2024-07-03 00:00:00,6183.0,6183.0,Paid,0,UPI
LP00000099,L000012,2024-08-03 00:00:00,2024-08-03 00:00:00,6183.0,6183.0,Paid,0,UPI
LP00000100,L000012,2024-09-03 00:00:00,2024-09-03 00:00:00,6183.0,6183.0,Paid,0,NEFT
LP00000101,L000012,2024-10-03 00:00:00,2024-10-03 00:00:00,6183.0,6183.0,Paid,0,Branch
LP00000102,L000014,2024-01-29 00:00:00,2024-01-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000103,L000014,2024-02-29 00:00:00,2024-04-29 00:00:00,10245.6,6275.01,Overdue,60,NEFT
LP00000104,L000014,2024-03-29 00:00:00,2024-03-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000105,L000014,2024-04-29 00:00:00,2024-04-29 00:00:00,10245.6,10245.6,Paid,0,NEFT
LP00000106,L000014,2024-05-29 00:00:00,2024-05-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000107,L000014,2024-06-29 00:00:00,2024-06-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000108,L000014,2024-07-29 00:00:00,2024-07-29 00:00:00,10245.6,10245.6,Paid,0,Auto Debit
LP00000109,L000014,2024-08-29 00:00:00,2024-08-29 00:00:00,10245.6,10245.6,Paid,0,NEFT
LP00000110,L000014,2024-09-29 00:00:00,2024-09-29 00:00:00,10245.6,10245.6,Paid,0,UPI
LP00000111,L000014,2024-10-29 00:00:00,2024-11-03 00:00:00,10245.6,10245.6,Late,5,Branch
LP00000112,L000014,2024-11-29 00:00:00,2025-02-07 00:00:00,10245.6,9366.89,Overdue,70,UPI
LP00000113,L000014,2024-12-29 00:00:00,2024-12-29 00:00:00,10245.6,10245.6,Paid,0,UPI
LP00000114,L000014,2025-01-29 00:00:00,2025-01-29 00:00:00,10245.6,10245.6,Paid,0,UPI
LP00000115,L000014,2025-02-28 00:00:00,2025-04-10 00:00:00,10245.6,7371.02,Overdue,41,Auto Debit
LP00000116,L000014,2025-03-29 00:00:00,2025-03-31 00:00:00,10245.6,10245.6,Late,2,Auto Debit
LP00000117,L000014,2025-04-29 00:00:00,2025-04-29 00:00:00,10245.6,10245.6,Paid,0,NEFT
LP00000118,L000014,2025-05-29 00:00:00,2025-05-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000119,L000014,2025-06-29 00:00:00,2025-06-29 00:00:00,10245.6,10245.6,Paid,0,Branch
LP00000120,L000015,2023-08-18 00:00:00,2023-09-06 00:00:00,2677.8,2677.8,Late,19,Branch
LP00000121,L000015,2023-09-18 00:00:00,2023-09-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000122,L000015,2023-10-18 00:00:00,2023-10-18 00:00:00,2677.8,2677.8,Paid,0,NEFT
LP00000123,L000015,2023-11-18 00:00:00,2023-11-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000124,L000015,2023-12-18 00:00:00,2023-12-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000125,L000015,2024-01-18 00:00:00,2024-01-18 00:00:00,2677.8,2677.8,Paid,0,NEFT
LP00000126,L000015,2024-02-18 00:00:00,2024-02-18 00:00:00,2677.8,2677.8,Paid,0,Auto Debit
LP00000127,L000015,2024-03-18 00:00:00,2024-03-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000128,L000015,2024-04-18 00:00:00,2024-04-18 00:00:00,2677.8,2677.8,Paid,0,Auto Debit
LP00000129,L000015,2024-05-18 00:00:00,2024-05-18 00:00:00,2677.8,2677.8,Paid,0,Auto Debit
LP00000130,L000015,2024-06-18 00:00:00,2024-06-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000131,L000015,2024-07-18 00:00:00,2024-07-18 00:00:00,2677.8,2677.8,Paid,0,UPI
LP00000132,L000015,2024-08-18 00:00:00,2024-08-18 00:00:00,2677.8,2677.8,Paid,0,UPI
LP00000133,L000015,2024-09-18 00:00:00,2024-09-18 00:00:00,2677.8,2677.8,Paid,0,Branch
LP00000134,L000017,2023-10-28 00:00:00,2023-10-28 00:00:00,1000.0,1000.0,Paid,0,NEFT
LP00000135,L000017,2023-11-28 00:00:00,2023-11-28 00:00:00,1000.0,1000.0,Paid,0,NEFT
LP00000136,L000017,2023-12-28 00:00:00,2024-01-04 00:00:00,1000.0,1000.0,Late,7,Branch
LP00000137,L000017,2024-01-28 00:00:00,2024-01-28 00:00:00,1000.0,1000.0,Paid,0,NEFT
LP00000138,L000017,2024-02-28 00:00:00,2024-02-28 00:00:00,1000.0,1000.0,Paid,0,Auto Debit
LP00000139,L000017,2024-03-28 00:00:00,2024-05-09 00:00:00,1000.0,936.94,Overdue,42,Branch
LP00000140,L000017,2024-04-28 00:00:00,2024-04-28 00:00:00,1000.0,1000.0,Paid,0,Branch
LP00000141,L000017,2024-05-28 00:00:00,2024-05-28 00:00:00,1000.0,1000.0,Paid,0,UPI
LP00000142,L000017,2024-06-28 00:00:00,2024-06-28 00:00:00,1000.0,1000.0,Paid,0,UPI
LP00000143,L000018,2025-08-19 00:00:00,2025-08-19 00:00:00,2515.5,2515.5,Paid,0,Branch
LP00000144,L000018,2025-09-19 00:00:00,2025-09-19 00:00:00,2515.5,2515.5,Paid,0,Auto Debit
LP00000145,L000018,2025-10-19 00:00:00,2025-10-19 00:00:00,2515.5,2515.5,Paid,0,NEFT
LP00000146,L000018,2025-11-19 00:00:00,2026-01-27 00:00:00,2515.5,1305.36,Overdue,69,Auto Debit
LP00000147,L000019,2026-01-25 00:00:00,2026-01-25 00:00:00,2190.0,2190.0,Paid,0,UPI
LP00000148,L000019,2026-02-25 00:00:00,2026-02-25 00:00:00,2190.0,2190.0,Paid,0,NEFT
LP00000149,L000019,2026-03-25 00:00:00,2026-03-25 00:00:00,2190.0,2190.0,Paid,0,Branch
LP00000150,L000019,2026-04-25 00:00:00,2026-04-25 00:00:00,2190.0,2190.0,Paid,0,UPI
LP00000151,L000019,2026-05-25 00:00:00,2026-08-15 00:00:00,2190.0,1984.38,Overdue,82,NEFT
LP00000152,L000019,2026-06-25 00:00:00,2026-06-25 00:00:00,2190.0,2190.0,Paid,0,UPI
LP00000153,L000020,2023-05-23 00:00:00,2023-05-23 00:00:00,1330.65,1330.65,Paid,0,UPI
LP00000154,L000020,2023-06-23 00:00:00,2023-06-23 00:00:00,1330.65,1330.65,Paid,0,Auto Debit
LP00000155,L000020,2023-07-23 00:00:00,2023-07-23 00:00:00,1330.65,1330.65,Paid,0,Auto Debit
LP00000156,L000020,2023-08-23 00:00:00,2023-08-23 00:00:00,1330.65,1330.65,Paid,0,Auto Debit
LP00000157,L000020,2023-09-23 00:00:00,2023-12-16 00:00:00,1330.65,1043.23,Overdue,84,Branch
LP00000158,L000022,2024-03-12 00:00:00,2024-03-12 00:00:00,1508.4,1508.4,Paid,0,Branch
LP00000159,L000022,2024-04-12 00:00:00,2024-04-12 00:00:00,1508.4,1508.4,Paid,0,Auto Debit
LP00000160,L000022,2024-05-12 00:00:00,2024-05-12 00:00:00,1508.4,1508.4,Paid,0,UPI
LP00000161,L000022,2024-06-12 00:00:00,2024-06-12 00:00:00,1508.4,1508.4,Paid,0,Branch
LP00000162,L000022,2024-07-12 00:00:00,2024-07-12 00:00:00,1508.4,1508.4,Paid,0,UPI
LP00000163,L000022,2024-08-12 00:00:00,2024-08-12 00:00:00,1508.4,1508.4,Paid,0,Branch
LP00000164,L000022,2024-09-12 00:00:00,2024-09-12 00:00:00,1508.4,1508.4,Paid,0,NEFT
LP00000165,L000022,2024-10-12 00:00:00,2024-10-12 00:00:00,1508.4,1508.4,Paid,0,NEFT
LP00000166,L000022,2024-11-12 00:00:00,2024-11-12 00:00:00,1508.4,1508.4,Paid,0,Branch
LP00000167,L000022,2024-12-12 00:00:00,2025-01-25 00:00:00,1508.4,1338.6,Overdue,44,NEFT
LP00000168,L000022,2025-01-12 00:00:00,2025-01-12 00:00:00,1508.4,1508.4,Paid,0,Branch
LP00000169,L000022,2025-02-12 00:00:00,2025-02-12 00:00:00,1508.4,1508.4,Paid,0,Auto Debit
LP00000170,L000022,2025-03-12 00:00:00,2025-04-07 00:00:00,1508.4,1508.4,Late,26,Auto Debit
LP00000171,L000022,2025-04-12 00:00:00,2025-04-12 00:00:00,1508.4,1508.4,Paid,0,NEFT
LP00000172,L000022,2025-05-12 00:00:00,2025-05-12 00:00:00,1508.4,1508.4,Paid,0,UPI
LP00000173,L000022,2025-06-12 00:00:00,2025-06-12 00:00:00,1508.4,1508.4,Paid,0,NEFT
LP00000174,L000022,2025-07-12 00:00:00,2025-07-12 00:00:00,1508.4,1508.4,Paid,0,UPI
LP00000175,L000024,2026-04-01 00:00:00,2026-04-01 00:00:00,12879.0,12879.0,Paid,0,Branch
LP00000176,L000024,2026-05-01 00:00:00,2026-05-01 00:00:00,12879.0,12879.0,Paid,0,NEFT
LP00000177,L000024,2026-06-01 00:00:00,2026-06-01 00:00:00,12879.0,12879.0,Paid,0,Auto Debit
LP00000178,L000024,2026-07-01 00:00:00,2026-07-01 00:00:00,12879.0,12879.0,Paid,0,UPI
LP00000179,L000025,2025-04-07 00:00:00,2025-04-07 00:00:00,14409.0,14409.0,Paid,0,Branch
LP00000180,L000025,2025-05-07 00:00:00,2025-05-07 00:00:00,14409.0,14409.0,Paid,0,Auto Debit
LP00000181,L000025,2025-06-07 00:00:00,2025-06-07 00:00:00,14409.0,14409.0,Paid,0,Auto Debit
LP00000182,L000025,2025-07-07 00:00:00,2025-07-07 00:00:00,14409.0,14409.0,Paid,0,Auto Debit
LP00000183,L000025,2025-08-07 00:00:00,2025-08-07 00:00:00,14409.0,14409.0,Paid,0,Branch
LP00000184,L000030,2023-06-12 00:00:00,2023-06-12 00:00:00,1522.8,1522.8,Paid,0,Branch
LP00000185,L000030,2023-07-12 00:00:00,2023-07-12 00:00:00,1522.8,1522.8,Paid,0,NEFT
LP00000186,L000030,2023-08-12 00:00:00,2023-08-12 00:00:00,1522.8,1522.8,Paid,0,Branch
LP00000187,L000030,2023-09-12 00:00:00,2023-09-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000188,L000030,2023-10-12 00:00:00,2023-10-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000189,L000030,2023-11-12 00:00:00,2024-02-10 00:00:00,1522.8,1445.31,Overdue,90,NEFT
LP00000190,L000030,2023-12-12 00:00:00,2023-12-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000191,L000030,2024-01-12 00:00:00,2024-01-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000192,L000030,2024-02-12 00:00:00,2024-02-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000193,L000030,2024-03-12 00:00:00,2024-05-06 00:00:00,1522.8,1258.29,Overdue,55,Branch
LP00000194,L000030,2024-04-12 00:00:00,2024-04-12 00:00:00,1522.8,1522.8,Paid,0,UPI
LP00000195,L000030,2024-05-12 00:00:00,2024-05-12 00:00:00,1522.8,1522.8,Paid,0,Auto Debit
LP00000196,L000030,2024-06-12 00:00:00,2024-06-12 00:00:00,1522.8,1522.8,Paid,0,Branch
LP00000197,L000031,2023-12-28 00:00:00,2024-02-27 00:00:00,1647.0,1263.61,Overdue,61,UPI
LP00000198,L000031,2024-01-28 00:00:00,2024-01-28 00:00:00,1647.0,1647.0,Paid,0,UPI
LP00000199,L000031,2024-02-28 00:00:00,2024-02-28 00:00:00,1647.0,1647.0,Paid,0,UPI
LP00000200,L000031,2024-03-28 00:00:00,2024-03-28 00:00:00,1647.0,1647.0,Paid,0,Auto Debit
LP00000201,L000031,2024-04-28 00:00:00,2024-04-28 00:00:00,1647.0,1647.0,Paid,0,UPI
LP00000202,L000031,2024-05-28 00:00:00,2024-05-28 00:00:00,1647.0,1647.0,Paid,0,UPI
LP00000203,L000031,2024-06-28 00:00:00,2024-06-28 00:00:00,1647.0,1647.0,Paid,0,NEFT
LP00000204,L000031,2024-07-28 00:00:00,2024-07-28 00:00:00,1647.0,1647.0,Paid,0,Branch
LP00000205,L000031,2024-08-28 00:00:00,2024-11-11 00:00:00,1647.0,977.93,Overdue,75,Branch
LP00000206,L000031,2024-09-28 00:00:00,2024-12-17 00:00:00,1647.0,1252.64,Overdue,80,Auto Debit
LP00000207,L000031,2024-10-28 00:00:00,2024-10-28 00:00:00,1647.0,1647.0,Paid,0,UPI
LP00000208,L000033,2026-01-10 00:00:00,2026-01-10 00:00:00,4343.4,4343.4,Paid,0,Auto Debit
LP00000209,L000033,2026-02-10 00:00:00,2026-02-10 00:00:00,4343.4,4343.4,Paid,0,NEFT
LP00000210,L000033,2026-03-10 00:00:00,2026-03-10 00:00:00,4343.4,4343.4,Paid,0,Auto Debit
LP00000211,L000033,2026-04-10 00:00:00,2026-04-10 00:00:00,4343.4,4343.4,Paid,0,Branch
LP00000212,L000033,2026-05-10 00:00:00,2026-05-10 00:00:00,4343.4,4343.4,Paid,0,Auto Debit
LP00000213,L000033,2026-06-10 00:00:00,2026-06-10 00:00:00,4343.4,4343.4,Paid,0,NEFT
LP00000214,L000033,2026-07-10 00:00:00,2026-07-10 00:00:00,4343.4,4343.4,Paid,0,Auto Debit
LP00000215,L000034,2024-11-06 00:00:00,2024-11-06 00:00:00,1136.7,1136.7,Paid,0,NEFT
LP00000216,L000034,2024-12-06 00:00:00,2024-12-06 00:00:00,1136.7,1136.7,Paid,0,Auto Debit
LP00000217,L000034,2025-01-06 00:00:00,2025-01-06 00:00:00,1136.7,1136.7,Paid,0,UPI
LP00000218,L000034,2025-02-06 00:00:00,2025-02-06 00:00:00,1136.7,1136.7,Paid,0,Branch
LP00000219,L000034,2025-03-06 00:00:00,2025-03-06 00:00:00,1136.7,1136.7,Paid,0,Branch
LP00000220,L000034,2025-04-06 00:00:00,2025-04-06 00:00:00,1136.7,1136.7,Paid,0,Auto Debit
LP00000221,L000034,2025-05-06 00:00:00,2025-05-06 00:00:00,1136.7,1136.7,Paid,0,Auto Debit
LP00000222,L000034,2025-06-06 00:00:00,2025-06-06 00:00:00,1136.7,1136.7,Paid,0,Auto Debit
LP00000223,L000034,2025-07-06 00:00:00,2025-07-06 00:00:00,1136.7,1136.7,Paid,0,NEFT
LP00000224,L000034,2025-08-06 00:00:00,2025-08-06 00:00:00,1136.7,1136.7,Paid,0,Auto Debit
LP00000225,L000035,2025-10-10 00:00:00,2025-10-10 00:00:00,2817.0,2817.0,Paid,0,Auto Debit
LP00000226,L000035,2025-11-10 00:00:00,2025-11-10 00:00:00,2817.0,2817.0,Paid,0,Auto Debit
LP00000227,L000035,2025-12-10 00:00:00,2025-12-10 00:00:00,2817.0,2817.0,Paid,0,UPI
LP00000228,L000035,2026-01-10 00:00:00,2026-01-10 00:00:00,2817.0,2817.0,Paid,0,Auto Debit
LP00000229,L000035,2026-02-10 00:00:00,2026-02-10 00:00:00,2817.0,2817.0,Paid,0,Branch
LP00000230,L000035,2026-03-10 00:00:00,2026-06-04 00:00:00,2817.0,1709.93,Overdue,86,NEFT
LP00000231,L000035,2026-04-10 00:00:00,2026-04-10 00:00:00,2817.0,2817.0,Paid,0,Branch
LP00000232,L000035,2026-05-10 00:00:00,2026-05-10 00:00:00,2817.0,2817.0,Paid,0,Branch
LP00000233,L000035,2026-06-10 00:00:00,2026-08-14 00:00:00,2817.0,1917.98,Overdue,65,NEFT
LP00000234,L000035,2026-07-10 00:00:00,2026-07-10 00:00:00,2817.0,2817.0,Paid,0,Branch
LP00000235,L000036,2025-01-03 00:00:00,2025-02-01 00:00:00,30225.0,30225.0,Late,29,NEFT
LP00000236,L000036,2025-02-03 00:00:00,2025-02-03 00:00:00,30225.0,30225.0,Paid,0,NEFT
LP00000237,L000036,2025-03-03 00:00:00,2025-03-03 00:00:00,30225.0,30225.0,Paid,0,NEFT
LP00000238,L000036,2025-04-03 00:00:00,2025-04-03 00:00:00,30225.0,30225.0,Paid,0,NEFT
LP00000239,L000036,2025-05-03 00:00:00,2025-05-03 00:00:00,30225.0,30225.0,Paid,0,UPI
LP00000240,L000036,2025-06-03 00:00:00,2025-06-03 00:00:00,30225.0,30225.0,Paid,0,NEFT
LP00000241,L000036,2025-07-03 00:00:00,2025-07-03 00:00:00,30225.0,30225.0,Paid,0,Branch
LP00000242,L000036,2025-08-03 00:00:00,2025-08-03 00:00:00,30225.0,30225.0,Paid,0,Branch
LP00000243,L000036,2025-09-03 00:00:00,2025-09-03 00:00:00,30225.0,30225.0,Paid,0,Auto Debit
